instrument_dir,data_file,dataset_name,dataset_origin_name,language,form,form_type,license,contributor,citation,longitudinal,age_min,age_max
Norwegian_WS,NorwegianWS_Kristoffersen_longitudinal_data.csv,Kristoffersen,Kristoffersen_longitudinal_Norwegian_WS,Norwegian,WS,WS,CC-BY,Hanne Simonsen and Kristian Kristoffersen (University of Oslo),"Simonsen, H. G., Kristoffersen, K. E., Bleses, D., Wehberg, S., & Jørgensen, R. N. (2014). The Norwegian Communicative Development Inventories: Reliability, main developmental trends and gender differences. First Language, 34(1), 3–23. DOI: 10.1177/0142723713510997",TRUE,16,36
Norwegian_WG,NorwegianWG_Kristoffersen_longitudinal_data.csv,Kristoffersen,Kristoffersen_longitudinal_Norwegian_WG,Norwegian,WG,WG,CC-BY,Hanne Simonsen and Kristian Kristoffersen (University of Oslo),"Simonsen, H. G., Kristoffersen, K. E., Bleses, D., Wehberg, S., & Jørgensen, R. N. (2014). The Norwegian Communicative Development Inventories: Reliability, main developmental trends and gender differences. First Language, 34(1), 3–23. DOI: 10.1177/0142723713510997",TRUE,8,20
Croatian_WG,CroatianWG_CLEX_data.csv,CLEX,CLEX__Croatian_WG,Croatian,WG,WG,CC-BY,Melita Kovacevic (University of Zagreb),"Kovacevic, M., Babic, Z., & Brozovic, B. (1996). A Croatian language parent report study: Lexical and grammatical development. Paper presented at the VIIth International Congress for the Study of Child Language, July 1996, Istanbul, Turkey.",FALSE,8,16
Croatian_WS,CroatianWS_CLEX_data.csv,CLEX,CLEX__Croatian_WS,Croatian,WS,WS,CC-BY,Melita Kovacevic (University of Zagreb),"Kovacevic, M., Babic, Z., & Brozovic, B. (1996). A Croatian language parent report study: Lexical and grammatical development. Paper presented at the VIIth International Congress for the Study of Child Language, July 1996, Istanbul, Turkey.",FALSE,16,30
GermanGerman_WS,GermanGermanWS_Szagun_data.csv,Szagun,Szagun__German_WS,German (German),WS,WS,CC-BY,Gisela Szagun (University College London),"Szagun, G., Stumper, B. & Schramm, S.A. (2023). Fragebogen zur frühkindlichen Sprachentwicklung: FRAKIS (Langform) und FRAKIS-K (Kurzform), 2. Auflage. Universitätsverlag Potsdam. https://www.uni-potsdam.de/de/inklusion/ese/schramm/frakis",FALSE,18,30
Italian_WS,ItalianWS_CLEX_data.csv,CLEX,CLEX__Italian_WS,Italian,WS,WS,CC-BY,Christina Caselli (Institute of Cognitive Sciences and Technologies),"Caselli, M. C., Bates, E., Casadio, P., Fenson, J., Fenson, L., Sanderl, L., & Weir, J. (1995). A cross-linguistic study of early lexical development. Cognitive Development, 10(2), 159–199.",FALSE,18,36
Russian_WG,RussianWG_CLEX_data.csv,CLEX,CLEX__Russian_WG,Russian,WG,WG,CC-BY,Stella Ceytlin (SPb Russian Pedagogical University),"Е.А.Вершинина, М.Б. Елисеева, Т.С. Лаврова, В.Л. Рыскина, С.Н. Цейтлин. (2011). Некоторые нормативы речевого развития детей от 8 до 18 месяцев// Специальное образование: традиции и инновации: Сборник научно-методических трудов с международным участием. — СПб.: Изд-во РГПУ им. А. И. Герцена.",FALSE,8,18
Russian_WS,RussianWS_CLEX_data.csv,CLEX,CLEX__Russian_WS,Russian,WS,WS,CC-BY,Stella Ceytlin (SPb Russian Pedagogical University),"М.Б. Елисеева, Е.А. (2009). Вершинина. Некоторые нормативы речевого развития детей от 18 до 36 месяцев (по материалам МакАртуровского опросника) // Проблемы онтолингвистики. Материалы международной конференции 17-19 июбня 2009 г. Санкт-Петербург, С.72–78",FALSE,16,36
Swedish_WG,SwedishWG_CLEX_data.csv,CLEX,CLEX__Swedish_WG,Swedish,WG,WG,CC-BY,Mårten Eriksson (University of Gävle),"Eriksson, M., & Berglund, E. (2002). Instruments, scoring manual and percentile levels of the Swedish Early Communicative Development Inventory, SECDI. (FoU-Rapport 17). Gävle, Sweden: Institutionen för pedagogik, didaktik och psykologi.",FALSE,8,16
Swedish_WS,SwedishWS_CLEX_data.csv,CLEX,CLEX__Swedish_WS,Swedish,WS,WS,CC-BY,Mårten Eriksson (University of Gävle),"Eriksson, M., & Berglund, E. (2002). Instruments, scoring manual and percentile levels of the Swedish Early Communicative Development Inventory, SECDI. (FoU-Rapport 17). Gävle, Sweden: Institutionen för pedagogik, didaktik och psykologi.",FALSE,16,28
