itemID,definition,category,item,type,choices,gloss,uni_lemma
item_65,gvagg gvagg,sounds,i_5_5,word,understands; produces,quack quack,quack quack
item_66,grr,sounds,i_5_6,word,understands; produces,grr,grrr
item_67,kykkeliky,sounds,i_5_7,word,understands; produces,cockledoodledoo,cockadoodledoo
item_68,mm mm,sounds,i_5_8,word,understands; produces,yum,yum yum
item_69,mjav,sounds,i_5_9,word,understands; produces,meow,meow
item_70,muh,sounds,i_5_10,word,understands; produces,moo,moo
item_71,mæ mæ,sounds,i_5_11,word,understands; produces,baa baa,baa baa
item_72,voff voff,sounds,i_5_12,word,understands; produces,woof woof,woof woof
item_73,apa,animals,i_6_1,word,understands; produces,monkey,monkey
item_74,bamsa,animals,i_6_2,word,understands; produces,teddy bear,teddybear
item_75,bjørn,animals,i_6_3,word,understands; produces,bear,bear
item_76,djór,animals,i_6_4,word,understands; produces,animal,animal
item_77,dunna,animals,i_6_5,word,understands; produces,drum,drum
item_78,fiskur,animals,i_6_6,word,understands; produces,fish (animal),fish (animal)
item_79,fílur,animals,i_6_7,word,understands; produces,elephant,elephant
item_80,fluga,animals,i_6_8,word,understands; produces,fly (animal),fly (animal)
item_81,froskur,animals,i_6_9,word,understands; produces,frog,frog
item_82,fuglur,animals,i_6_10,word,understands; produces,bird,bird
item_83,gás,animals,i_6_11,word,understands; produces,goose,goose
item_84,gásarungi,animals,i_6_12,word,understands; produces,gosling,
item_85,giraffur,animals,i_6_13,word,understands; produces,giraffe,giraffe
item_86,grísur,animals,i_6_14,word,understands; produces,piglets,
item_87,hestur,animals,i_6_15,word,understands; produces,horse,horse
item_88,(hunda)hvølpur,animals,i_6_16,word,understands; produces,puppy,puppy
item_89,hundur,animals,i_6_17,word,understands; produces,dog,dog
item_90,hvalur,animals,i_6_18,word,understands; produces,whale,whale
item_91,høsnarungi,animals,i_6_19,word,understands; produces,chick,chick
item_92,íkorn,animals,i_6_20,word,understands; produces,squirrel,squirrel
item_93,kanin,animals,i_6_21,word,understands; produces,rabbit,rabbit
item_94,ketta,animals,i_6_22,word,understands; produces,cat,cat
item_95,kettlingur,animals,i_6_23,word,understands; produces,kitten,kitten
item_96,krabbi,animals,i_6_24,word,understands; produces,crab,crab
item_97,kúgv,animals,i_6_25,word,understands; produces,cow,cow
item_98,lamb,animals,i_6_26,word,understands; produces,lamb,lamb
item_99,likka,animals,i_6_27,word,understands; produces,gull,seagull
item_100,lundi,animals,i_6_28,word,understands; produces,puffin,
item_101,leyva,animals,i_6_29,word,understands; produces,lion,lion
item_102,mús,animals,i_6_30,word,understands; produces,mouse,mouse
item_103,pingvin,animals,i_6_31,word,understands; produces,penguin,penguin
item_104,pony(hestur),animals,i_6_32,word,understands; produces,pony,pony
item_105,skjaldbøka,animals,i_6_33,word,understands; produces,turtle,turtle
item_106,summarfuglur,animals,i_6_34,word,understands; produces,butterfly,butterfly
item_107,seyður,animals,i_6_35,word,understands; produces,sheep,sheep
item_108,tikari,animals,i_6_36,word,understands; produces,tiger,tiger
item_109,tjaldur,animals,i_6_37,word,understands; produces,oystercatcher,
item_110,ugla,animals,i_6_38,word,understands; produces,owl,owl
item_111,vespa,animals,i_6_39,word,understands; produces,hornet,
item_112,barnavognur,vehicles,i_7_1,word,understands; produces,stroller,stroller
item_113,bátur,vehicles,i_7_2,word,understands; produces,boat,boat
item_114,bilur,vehicles,i_7_3,word,understands; produces,car,car
item_115,brandbilur,vehicles,i_7_4,word,understands; produces,fire engine,firetruck
item_116,bussur,vehicles,i_7_5,word,understands; produces,bus,bus
item_117,flogfar,vehicles,i_7_6,word,understands; produces,airplane,airplane
item_118,lastbilur,vehicles,i_7_7,word,understands; produces,truck,truck
item_119,motorsúkkla,vehicles,i_7_8,word,understands; produces,motorcycle,motorcycle
item_120,súkkla,vehicles,i_7_9,word,understands; produces,bicycle,bicycle
item_121,tok,vehicles,i_7_10,word,understands; produces,train,train
item_122,tyrla,vehicles,i_7_11,word,understands; produces,helicopter,helicopter
item_123,ballón,toys,i_8_1,word,understands; produces,balloon,balloon
item_124,blýantur,toys,i_8_2,word,understands; produces,pencil,pencil
item_125,bók,toys,i_8_3,word,understands; produces,book,book
item_126,bóltur,toys,i_8_4,word,understands; produces,ball,ball
item_127,dukka,toys,i_8_5,word,understands; produces,doll,doll
item_128,klossar,toys,i_8_6,word,understands; produces,clogs,
item_129,lego,toys,i_8_7,word,understands; produces,lego,blocks
item_130,leikutoy,toys,i_8_8,word,understands; produces,toy,toy (object)
item_131,sápubløðrur,toys,i_8_9,word,understands; produces,bubbles,bubbles
item_132,appelsin,food_drink,i_9_1,word,understands; produces,orange,orange (food)
item_133,banan,food_drink,i_9_2,word,understands; produces,banana,banana
item_134,bollar,food_drink,i_9_3,word,understands; produces,cup,cup
item_135,bomm,food_drink,i_9_4,word,understands; produces,candy,candy
item_136,breyð,food_drink,i_9_5,word,understands; produces,bread,bread
item_137,djús,food_drink,i_9_6,word,understands; produces,juice,juice
item_138,drekka,food_drink,i_9_7,word,understands; produces,drink (beverage),drink (beverage)
item_139,egg,food_drink,i_9_8,word,understands; produces,egg,egg
item_140,epli,food_drink,i_9_9,word,understands; produces,potato,potato
item_141,ertrar,food_drink,i_9_10,word,understands; produces,peas,peas
item_142,fiskur,food_drink,i_9_11,word,understands; produces,fish (food),fish (food)
item_143,frikadellur,food_drink,i_9_12,word,understands; produces,meatball,meatball
item_144,gularøtur,food_drink,i_9_13,word,understands; produces,carrot,carrot
item_145,havragreyt,food_drink,i_9_14,word,understands; produces,oatmeal,cereal
item_146,høsnarungi,food_drink,i_9_15,word,understands; produces,chicken,chicken
item_147,kyllingur,food_drink,i_9_16,word,understands; produces,chicken,chicken
item_148,ísur,food_drink,i_9_17,word,understands; produces,ice cream,ice cream
item_149,jogurt,food_drink,i_9_18,word,understands; produces,yogurt,yogurt
item_150,kaffi,food_drink,i_9_19,word,understands; produces,coffee,coffee
item_151,keks,food_drink,i_9_20,word,understands; produces,cookie,cookie
item_152,kjøt,food_drink,i_9_21,word,understands; produces,meat,meat
item_153,køka,food_drink,i_9_22,word,understands; produces,cake,cake
item_154,livurpostei,food_drink,i_9_23,word,understands; produces,pate,
item_155,matur,food_drink,i_9_24,word,understands; produces,food,food
item_156,mjólk,food_drink,i_9_25,word,understands; produces,milk,milk
item_157,ostur,food_drink,i_9_26,word,understands; produces,cheese,cheese
item_158,pitsa,food_drink,i_9_27,word,understands; produces,pizza,pizza
item_159,rosinur,food_drink,i_9_28,word,understands; produces,raisins,raisin
item_160,sjokoláta,food_drink,i_9_29,word,understands; produces,chocolate,chocolate
item_161,smør,food_drink,i_9_30,word,understands; produces,butter,butter
item_162,spagetti,food_drink,i_9_31,word,understands; produces,spaghetti,spaghetti
item_163,súrepli,food_drink,i_9_32,word,understands; produces,apple,apple
item_164,vatn,food_drink,i_9_33,word,understands; produces,water (beverage),water (beverage)
item_165,blusa,clothing,i_10_1,word,understands; produces,blouse,blouse
item_166,blæa,clothing,i_10_2,word,understands; produces,diaper,diaper
item_167,bodystock,clothing,i_10_3,word,understands; produces,onesie,onesie
item_168,buksur,clothing,i_10_4,word,understands; produces,pants,pants
item_169,hagesmekka,clothing,i_10_5,word,understands; produces,bib,bib
item_170,hálsband,clothing,i_10_6,word,understands; produces,necklace,necklace
item_171,hosur,clothing,i_10_7,word,understands; produces,pants,pants
item_172,húgva,clothing,i_10_8,word,understands; produces,beanie,
item_173,jakki,clothing,i_10_9,word,understands; produces,jacket,jacket
item_174,kjóli,clothing,i_10_10,word,understands; produces,dress,dress
item_175,knappar,clothing,i_10_11,word,understands; produces,button,button
item_176,lýnlás,clothing,i_10_12,word,understands; produces,zip,zipper
item_177,náttklæðir,clothing,i_10_13,word,understands; produces,pajamas,pajamas
item_178,regnklæðir,clothing,i_10_14,word,understands; produces,raincoat,raincoat
item_179,skógvar,clothing,i_10_15,word,understands; produces,shoe,shoe
item_180,sokkabuksur,clothing,i_10_16,word,understands; produces,tights,tights
item_181,sokkar,clothing,i_10_17,word,understands; produces,socks,sock
item_182,stivlar,clothing,i_10_18,word,understands; produces,boots,boots
item_183,troyggja,clothing,i_10_19,word,understands; produces,sweater,sweater
item_184,undirbuksur,clothing,i_10_20,word,understands; produces,underpants,underpants
item_185,vøttir,clothing,i_10_21,word,understands; produces,mittens,mitten
item_186,andlit,body_parts,i_11_1,word,understands; produces,face,face
item_187,armur,body_parts,i_11_2,word,understands; produces,arm,arm
item_188,búkur,body_parts,i_11_3,word,understands; produces,body,body
item_189,bein,body_parts,i_11_4,word,understands; produces,leg,leg
item_190,fingur,body_parts,i_11_5,word,understands; produces,finger,finger
item_191,fótur,body_parts,i_11_6,word,understands; produces,foot,foot
item_192,hár,body_parts,i_11_7,word,understands; produces,hair,hair
item_193,hond,body_parts,i_11_8,word,understands; produces,hand,hand
item_194,høvd,body_parts,i_11_9,word,understands; produces,head,head
item_195,kjálki,body_parts,i_11_10,word,understands; produces,cheek,cheek
item_196,knæ,body_parts,i_11_11,word,understands; produces,knee,knee
item_197,munnur,body_parts,i_11_12,word,understands; produces,mouth,mouth
item_198,nalvi,body_parts,i_11_13,word,understands; produces,navel,belly button
item_199,nøs,body_parts,i_11_14,word,understands; produces,nose,nose
item_200,pissikona*,body_parts,i_11_15,word,understands; produces,vagina,vagina
item_201,pissilingur*,body_parts,i_11_16,word,understands; produces,penis,penis
item_202,rumpa,body_parts,i_11_17,word,understands; produces,butt,butt
item_203,sár,body_parts,i_11_18,word,understands; produces,wound,
item_204,tá,body_parts,i_11_19,word,understands; produces,toe,toe
item_205,tenn,body_parts,i_11_20,word,understands; produces,tooth,tooth
item_206,tunga,body_parts,i_11_21,word,understands; produces,tongue,tongue
item_207,eyga,body_parts,i_11_22,word,understands; produces,eye,eye
item_208,oyra,body_parts,i_11_23,word,understands; produces,ear,ear
item_209,brillur,household,i_12_1,word,understands; produces,glasses,glasses
item_210,bust,household,i_12_2,word,understands; produces,brush (object),brush (object)
item_211,dýna,household,i_12_3,word,understands; produces,duvet,blanket
item_212,fløska,household,i_12_4,word,understands; produces,bottle,bottle
item_213,gaffil,household,i_12_5,word,understands; produces,fork,fork
item_214,glas,household,i_12_6,word,understands; produces,glass,glass
item_215,hamari,household,i_12_7,word,understands; produces,hammer,hammer
item_216,handklæði,household,i_12_8,word,understands; produces,towel,towel
item_217,I-pad,household,i_12_9,word,understands; produces,tablet,
item_218,kambur,household,i_12_10,word,understands; produces,comb (object),comb (object)
item_219,kassi,household,i_12_11,word,understands; produces,box,box
item_220,klokka,household,i_12_12,word,understands; produces,clock,clock
item_221,koddi,household,i_12_13,word,understands; produces,pillow,pillow
item_222,koppur,household,i_12_14,word,understands; produces,cup,cup
item_223,krónur,household,i_12_15,word,understands; produces,dollar,money
item_224,kustur,household,i_12_16,word,understands; produces,broom,broom
item_225,lampa,household,i_12_17,word,understands; produces,lamp,lamp
item_226,ljós,household,i_12_18,word,understands; produces,light,light
item_227,lyklar,household,i_12_19,word,understands; produces,keys,keys
item_228,medisin,household,i_12_20,word,understands; produces,medicine,medicine
item_229,mynd,household,i_12_21,word,understands; produces,picture,picture
item_230,pappír,household,i_12_22,word,understands; produces,paper,paper
item_231,pengar,household,i_12_23,word,understands; produces,money,money
item_232,pungur,household,i_12_24,word,understands; produces,purse,purse
item_233,púta,household,i_12_25,word,understands; produces,cushion,cushion
item_234,rusk,household,i_12_26,word,understands; produces,trash,trash
item_235,saksur,household,i_12_27,word,understands; produces,scissors,scissors
item_236,sápa,household,i_12_28,word,understands; produces,soap,soap
item_237,skál,household,i_12_29,word,understands; produces,bowl,bowl
item_238,skeið,household,i_12_30,word,understands; produces,spoon,spoon
item_239,skrell,household,i_12_31,word,understands; produces,trash,trash
item_240,støvsúgvari,household,i_12_32,word,understands; produces,vacuum,vacuum
item_241,sutta,household,i_12_33,word,understands; produces,pacifier,pacifier
item_242,tallerkur,household,i_12_34,word,understands; produces,plate,plate
item_243,tannbust,household,i_12_35,word,understands; produces,toothbrush,toothbrush
item_244,telefon,household,i_12_36,word,understands; produces,phone,telephone
item_245,telda,household,i_12_37,word,understands; produces,computer,computer
item_246,teppi,household,i_12_38,word,understands; produces,carpet,carpet
item_247,ur,household,i_12_39,word,understands; produces,watch,watch (object)
item_248,útvarp,household,i_12_40,word,understands; produces,radio,radio
item_249,baðikar,furniture_room,i_13_1,word,understands; produces,bathtub,bathtub
item_250,barnasong,furniture_room,i_13_2,word,understands; produces,crib,crib
item_251,barnastólur,furniture_room,i_13_3,word,understands; produces,high chair,high chair
item_252,borð,furniture_room,i_13_4,word,understands; produces,table,table
item_253,garasja,furniture_room,i_13_5,word,understands; produces,garage,garage
item_254,hurð,furniture_room,i_13_6,word,understands; produces,door,door
item_255,kamar,furniture_room,i_13_7,word,understands; produces,bedroom,bedroom
item_256,komfýrur,furniture_room,i_13_8,word,understands; produces,stove,stove
item_257,køkur,furniture_room,i_13_9,word,understands; produces,kitchen,kitchen
item_258,køliskáp,furniture_room,i_13_10,word,understands; produces,refrigerator,refrigerator
item_259,ovnur,furniture_room,i_13_11,word,understands; produces,oven,oven
item_260,pottur,furniture_room,i_13_12,word,understands; produces,potty,potty
item_261,ruggustólur,furniture_room,i_13_13,word,understands; produces,rocking chair,rocking chair
item_262,sjónvarp,furniture_room,i_13_14,word,understands; produces,television,TV
item_263,skuffa,furniture_room,i_13_15,word,understands; produces,drawer,drawer
item_264,sofa,furniture_room,i_13_16,word,understands; produces,sofa,couch
item_265,song,furniture_room,i_13_17,word,understands; produces,bed,bed
item_266,stova,furniture_room,i_13_18,word,understands; produces,living room,living room
item_267,stólur,furniture_room,i_13_19,word,understands; produces,chair,chair
item_268,trappa,furniture_room,i_13_20,word,understands; produces,stairs,stairs
item_269,vask,furniture_room,i_13_21,word,understands; produces,sink,sink
item_270,vindeyga,furniture_room,i_13_22,word,understands; produces,window,window
item_271,wc,furniture_room,i_13_23,word,understands; produces,toilet,toilet
item_272,blomstur,outside,i_14_1,word,understands; produces,flower,flower
item_273,himmal,outside,i_14_2,word,understands; produces,sky,sky
item_274,kavi,outside,i_14_3,word,understands; produces,snow,snow
item_275,máni,outside,i_14_4,word,understands; produces,moon,moon
item_276,regn,outside,i_14_5,word,understands; produces,rain,rain
item_277,russjibani,outside,i_14_6,word,understands; produces,rollercoaster,
item_278,reiggja,outside,i_14_7,word,understands; produces,swing (object),swing (object)
item_279,sleta,outside,i_14_8,word,understands; produces,sled,sled
item_280,sól,outside,i_14_9,word,understands; produces,sun,sun
item_281,spaki,outside,i_14_10,word,understands; produces,shovel,shovel
item_282,stjørna,outside,i_14_11,word,understands; produces,stars,star
item_283,steinur,outside,i_14_12,word,understands; produces,stone,stone
item_284,træ,outside,i_14_13,word,understands; produces,tree,tree
item_285,arbeiðis,places,i_15_1,word,understands; produces,work,work (place)
item_286,á sandin,places,i_15_2,word,understands; produces,beach,beach
item_287,biltúr,places,i_15_3,word,understands; produces,car ride,
item_288,djóragarð,places,i_15_4,word,understands; produces,zoo,zoo
item_289,føðingardag,places,i_15_5,word,understands; produces,birthday,birthday
item_290,handil,places,i_15_6,word,understands; produces,store,store
item_291,havi,places,i_15_7,word,understands; produces,garden,garden
item_292,heim,places,i_15_8,word,understands; produces,home,home
item_293,keypa,places,i_15_9,word,understands; produces,shopping,shopping
item_294,hús,places,i_15_10,word,understands; produces,house,house
item_295,kirkja*,places,i_15_11,word,understands; produces,church*,church
item_296,skúla,places,i_15_12,word,understands; produces,school,school
item_297,svimjihyl,places,i_15_13,word,understands; produces,pool,pool
item_298,út at spæla,places,i_15_14,word,understands; produces,out to play,
item_299,viðarlundina,places,i_15_15,word,understands; produces,park,park
item_300,vøggustovu/dagrøkt,places,i_15_16,word,understands; produces,nursery/daycare,nursery
item_301,abbi,people,i_16_1,word,understands; produces,grandpa,grandpa
item_302,babba,people,i_16_2,word,understands; produces,daddy,daddy
item_303,baby,people,i_16_3,word,understands; produces,baby,baby
item_304,barn,people,i_16_4,word,understands; produces,child,child
item_305,beiggi,people,i_16_5,word,understands; produces,brother,brother
item_306,drongur,people,i_16_6,word,understands; produces,boy,boy
item_307,fastir,people,i_16_7,word,understands; produces,paternal aunt,aunt
item_308,fólk,people,i_16_8,word,understands; produces,people,people
item_309,gubbi,people,i_16_9,word,understands; produces,godfather,godfather
item_310,gumma,people,i_16_10,word,understands; produces,godmother,godmother
item_311,kona,people,i_16_11,word,understands; produces,woman/wife,woman
item_312,langabbi,people,i_16_12,word,understands; produces,great-grandfather,
item_313,langomma,people,i_16_13,word,understands; produces,great-grandmother,
item_314,maður,people,i_16_14,word,understands; produces,man/husband,man
item_315,mamma,people,i_16_15,word,understands; produces,mummy,mommy
item_316,mammubeiggi,people,i_16_16,word,understands; produces,maternal uncle,uncle
item_317,mostir,people,i_16_17,word,understands; produces,maternal aunt,aunt
item_318,navn á pedagogi/dagrøktara,people,i_16_18,word,understands; produces,name of teacher/daycare provider,teacher's name
item_319,omma,people,i_16_19,word,understands; produces,grandma,grandma
item_320,pápabeiggi,people,i_16_20,word,understands; produces,paternal uncle,uncle
item_321,sítt egna navn,people,i_16_21,word,understands; produces,child's own name,child's own name
item_322,systir,people,i_16_22,word,understands; produces,sister,sister
item_323,bað,games_routines,i_17_1,word,understands; produces,bath (routine),take a bath
item_324,bíða,games_routines,i_17_2,word,understands; produces,wait,wait
item_325,bei,games_routines,i_17_3,word,understands; produces,bye,bye
item_326,døgurði,games_routines,i_17_4,word,understands; produces,lunch,lunch
item_327,góða nátt,games_routines,i_17_5,word,understands; produces,good night,good night
item_328,halló,games_routines,i_17_6,word,understands; produces,hello,hello
item_329,hey,games_routines,i_17_7,word,understands; produces,hi,hi
item_330,ja,games_routines,i_17_8,word,understands; produces,yes,yes
item_331,sova (í vogn/inni),games_routines,i_17_9,word,understands; produces,sleep (in the stroller/inside),
item_332,mala hendan veg,games_routines,i_17_10,word,understands; produces,mala hendan veg (children's song),
item_333,morgunmat,games_routines,i_17_11,word,understands; produces,breakfast,breakfast
item_334,nátturði,games_routines,i_17_12,word,understands; produces,dinner,dinner
item_335,nei,games_routines,i_17_13,word,understands; produces,no,no
item_336,"ríði, ríði ranka",games_routines,i_17_14,word,understands; produces,"ride, ride ranka (children's song)",
item_337,shhh/hússj,games_routines,i_17_15,word,understands; produces,shhh/hush,shh
item_338,so stór/ur,games_routines,i_17_16,word,understands; produces,so big,so big
item_339,spæla bø,games_routines,i_17_17,word,understands; produces,peekaboo,peekaboo
item_340,takk,games_routines,i_17_18,word,understands; produces,thanks,thank you
item_341,tími ikki,games_routines,i_17_19,word,understands; produces,don't want,don't want
item_342,trilla,games_routines,i_17_20,word,understands; produces,push the stroller,
item_343,bíta,action_words,i_18_1,word,understands; produces,bite,bite
item_344,blása,action_words,i_18_2,word,understands; produces,blow,blow
item_345,bróta,action_words,i_18_3,word,understands; produces,break (action),break
item_346,dansa,action_words,i_18_4,word,understands; produces,dance (action),dance
item_347,detta,action_words,i_18_5,word,understands; produces,fall,fall
item_348,drekka,action_words,i_18_6,word,understands; produces,drink (action),drink (action)
item_349,elska,action_words,i_18_7,word,understands; produces,love,love
item_350,eta,action_words,i_18_8,word,understands; produces,eat,eat
item_351,fara,action_words,i_18_9,word,understands; produces,go,go
item_352,fáa,action_words,i_18_10,word,understands; produces,get,get
item_353,ganga,action_words,i_18_11,word,understands; produces,walk,walk
item_354,gera,action_words,i_18_12,word,understands; produces,do,do
item_355,geva,action_words,i_18_13,word,understands; produces,give,give
item_356,geva at eta,action_words,i_18_14,word,understands; produces,give to eat,feed
item_357,gráta,action_words,i_18_15,word,understands; produces,cry,cry
item_358,hála,action_words,i_18_16,word,understands; produces,pull,pull
item_359,hjálpa,action_words,i_18_17,word,understands; produces,help,help
item_360,hoppa,action_words,i_18_18,word,understands; produces,jump,jump
item_361,hyggja,action_words,i_18_19,word,understands; produces,look,look
item_362,kasta,action_words,i_18_20,word,understands; produces,throw,throw
item_363,kitla,action_words,i_18_21,word,understands; produces,tickle,tickle
item_364,klandrast,action_words,i_18_22,word,understands; produces,fight,fight
item_365,klappa,action_words,i_18_23,word,understands; produces,clap,clap
item_366,klemma,action_words,i_18_24,word,understands; produces,hug,hug
item_367,koyra,action_words,i_18_25,word,understands; produces,drive,drive
item_368,lata aftur,action_words,i_18_26,word,understands; produces,close (action),close
item_369,lata upp,action_words,i_18_27,word,understands; produces,open (action),open (action)
item_370,lesa,action_words,i_18_28,word,understands; produces,read,read
item_371,mussa,action_words,i_18_29,word,understands; produces,kiss,kiss
item_372,nema,action_words,i_18_30,word,understands; produces,learn,learn
item_373,renna,action_words,i_18_31,word,understands; produces,run,run
item_374,ríða,action_words,i_18_32,word,understands; produces,ride,ride
item_375,reiggja,action_words,i_18_33,word,understands; produces,swing (action),swing (action)
item_376,rudda,action_words,i_18_34,word,understands; produces,clean (action),clean (action)
item_377,seta,action_words,i_18_35,word,understands; produces,put,put
item_378,siga,action_words,i_18_36,word,understands; produces,say,say
item_379,síggja,action_words,i_18_37,word,understands; produces,see,see
item_380,skriva,action_words,i_18_38,word,understands; produces,write,write
item_381,skumpa,action_words,i_18_39,word,understands; produces,push,push
item_382,skunda sær,action_words,i_18_40,word,understands; produces,hurry up,hurry
item_383,sláa,action_words,i_18_41,word,understands; produces,hit,hit
item_384,smíla,action_words,i_18_42,word,understands; produces,smile,smile
item_385,sova,action_words,i_18_43,word,understands; produces,sleep,sleep
item_386,sparka,action_words,i_18_44,word,understands; produces,kick,kick
item_387,spæla,action_words,i_18_45,word,understands; produces,play,play
item_388,steðga,action_words,i_18_46,word,understands; produces,stop,stop
item_389,svimja,action_words,i_18_47,word,understands; produces,swim,swim
item_390,syngja,action_words,i_18_48,word,understands; produces,sing,sing
item_391,taka,action_words,i_18_49,word,understands; produces,take,take
item_392,tekna,action_words,i_18_50,word,understands; produces,draw,draw
