itemID,definition,category,item,type,choices,gloss,uni_lemma
item_1,"1. Svarar, tá navnið á barninum verður sagt (t.d. við at venda sær og hyggja at tí sum rópar)",NA,i_1_1,first_signs,yes; no,"Responds when the child's name is said (e.g., by turning and looking at the caller)",
item_2,"2. Reagerar upp á ""nei, nei"" (við at steðga í tí, hann/hon ger, í minsta lagið eina løtu)",NA,i_1_2,first_signs,yes; no,"Reacts to ""no, no"" (by stopping what he/she is doing for at least a moment)",
item_3,"3. Reagerar upp á ""har er mamma/babba"" við at hyggja/leita eftir teimum",NA,i_1_3,first_signs,yes; no,"Reacts to ""there's mom/dad"" by looking for them",
item_4,Ansa eftir,NA,i_2_1,phrases,understands,Take care of,
item_5,Dugir tú at klappa?,NA,i_2_2,phrases,understands,Can you clap?,
item_6,Ert tú móð/ur?,NA,i_2_3,phrases,understands,Are you tired?,
item_7,Ert tú svong/svangur?,NA,i_2_4,phrases,understands,Are you hungry?,
item_8,Far eftir X (t.d. koppinum),NA,i_2_5,phrases,understands,Go for the X (e.g. the cup),
item_9,Gev mammu tað,NA,i_2_6,phrases,understands,Give it to mom,
item_10,Gev mær eitt klemm,NA,i_2_7,phrases,understands,Give me a hug,
item_11,Gev mær ein muss,NA,i_2_8,phrases,understands,Give me a kiss,
item_12,Hatta mást tú ikki,NA,i_2_9,phrases,understands,You mustn't do that,
item_13,Hygg her,NA,i_2_10,phrases,understands,Watch here,
item_14,Ikki gera so,NA,i_2_11,phrases,understands,Don't do so,
item_15,Ikki nema,NA,i_2_12,phrases,understands,Don't touch,
item_16,Kasta bóltin,NA,i_2_13,phrases,understands,Throw the ball,
item_17,Kom her,NA,i_2_14,phrases,understands,Come here,
item_18,Koyr úr munninum,NA,i_2_15,phrases,understands,Run out of your mouth,
item_19,Lat munnin upp,NA,i_2_16,phrases,understands,Open your mouth,
item_20,Mamma/babba er komin heim,NA,i_2_17,phrases,understands,Mom/Dad is home,
item_21,Nú fara vit,NA,i_2_18,phrases,understands,Now we go,
item_22,Nú fara vit at sova,NA,i_2_19,phrases,understands,Now we're going to sleep,
item_23,Røsk genta/drongur,NA,i_2_20,phrases,understands,Good girl/boy,
item_24,Set teg niður,NA,i_2_21,phrases,understands,Sit down,
item_25,Skulu vit fara túr?,NA,i_2_22,phrases,understands,Shall we go for a walk?,
item_26,Steðga,NA,i_2_23,phrases,understands,Stop,
item_27,Stand still/ur,NA,i_2_24,phrases,understands,Stand still,
item_28,Upp og stand,NA,i_2_25,phrases,understands,Up and Stand,
item_29,Ver friðarlig/ur,NA,i_2_26,phrases,understands,Be quiet,
item_30,Vil tú hava meira?,NA,i_2_27,phrases,understands,Want more?,
item_31,Vit fara at skifta blæu,NA,i_2_28,phrases,understands,We're going to change the nappy,
item_32,"1. Nøkur børn eru sum pappageykar og herma eftir tí sum tey júst hava hoyrt (eisini nýggj orð, sum tey eru við at læra ella partar av setningum t.d. endurtaka ""arbeiðis nú"" aftaná at mamman hevur sagt ""mamma",NA,i_3_1,starting_to_talk,never; sometimes; often,"Some children are like parrots and imitate what they have just heard (including new words they are learning or parts of sentences e.g. repeating ""work now"" after the mother has said ""mother",
item_33,"2. Summum børnum dámar at nevna og seta orð á ymiskt, sum um tey eru stolt av at duga orðini og vilja vísa tað. Hvussu ofta nevnir barnið títt ymiskt tað sær?",NA,i_3_2,starting_to_talk,never; sometimes; often,"Some children like to name and put words on things, as if they are proud of knowing the words and want to show it. How often does your child mention different things?",
item_34,abbaba (abbabeiggi),NA,i_4_1,baby_words,understands; produces,granduncle (grandfather's brother),
item_35,abbadidd (abbasystir),NA,i_4_2,baby_words,understands; produces,grandaunt (grandfather's sister),
item_36,adda (út at ganga),NA,i_4_3,baby_words,understands; produces,out for a walk,
item_37,ba (beiggi),NA,i_4_4,baby_words,understands; produces,brother/boy,
item_38,babu (bilur),NA,i_4_5,baby_words,understands; produces,siren,
item_39,bangari (at skjóta við),NA,i_4_6,baby_words,understands; produces,gun,
item_40,bibbar (fuglar),NA,i_4_7,baby_words,understands; produces,birds,
item_41,bibbur (tær),NA,i_4_8,baby_words,understands; produces,toes,
item_42,dada (bei ella út),NA,i_4_9,baby_words,understands; produces,bye or going out,
item_43,didda,NA,i_4_10,baby_words,understands; produces,sister/girl,
item_44,gagga (dunna),NA,i_4_11,baby_words,understands; produces,duck,
item_45,geggar (skógvar),NA,i_4_12,baby_words,understands; produces,shoes,
item_46,hestamua,NA,i_4_13,baby_words,understands; produces,horse,
item_47,kállabussi,NA,i_4_14,baby_words,understands; produces,calf,
item_48,maua (ketta),NA,i_4_15,baby_words,understands; produces,cat,
item_49,lulla,NA,i_4_16,baby_words,understands; produces,sleep,
item_50,mamba (mammubeiggi),NA,i_4_17,baby_words,understands; produces,maternal uncle,
item_51,mua,NA,i_4_18,baby_words,understands; produces,cow,
item_52,mæ,NA,i_4_19,baby_words,understands; produces,sheep,
item_53,nalli (nalvi),NA,i_4_20,baby_words,understands; produces,navel,
item_54,namma (eta),NA,i_4_21,baby_words,understands; produces,eat,
item_55,nina,NA,i_4_22,baby_words,understands; produces,sit,
item_56,omba (ommubeiggi),NA,i_4_23,baby_words,understands; produces,granduncle (grandmother's brother),
item_57,ommudidd (ommusysti),NA,i_4_24,baby_words,understands; produces,grandaunt (grandmother's sister),
item_58,putta,NA,i_4_25,baby_words,understands; produces,tuck (to sleep),
item_59,ubbisey/ubba (upp),NA,i_4_26,baby_words,understands; produces,up,
item_60,voffur (hundur),NA,i_4_27,baby_words,understands; produces,dog,
item_61,avv!,sounds,i_5_1,word,understands; produces,ouch,ouch
item_62,áh áh,sounds,i_5_2,word,understands; produces,oh oh,uh oh
item_63,brmm (bil-ljóð),sounds,i_5_3,word,understands; produces,vroom vroom (car sound),vroom
item_64,tuff tuff (tok-ljóð),sounds,i_5_4,word,understands; produces,choo choo (train sound),choo choo
