itemID,definition,category,item,type,choices,gloss,uni_lemma
item_1,taa taa,games_routines,n1taataa,word,understands; produces,dada (babbling),
item_2,nyanyana,animals,n5avenyany,word,understands; produces,bird,bird
item_3,mdzáná,animals,n6comdzn,word,understands; produces,dog,dog
item_4,mbútí,animals,n7gabritom,word,understands; produces,goat,goat
item_5,húkú,animals,n8galinhah,word,understands; produces,chicken,chicken (animal)
item_6,homu,animals,n9boishomu,word,understands; produces,ox,ox
item_7,khondlo,animals,n10ratokon,word,understands; produces,rat,rat
item_8,mohva,vehicles,n11carromo,word,understands; produces,car,car
item_9,ku beleca,household,n12nenecak,word,understands; produces,carry-cloth,
item_10,bóla,toys,n13bolabla,word,understands; produces,ball,ball
item_11,xigubugubu,household,n14bidonde,word,understands; produces,water jug,jug
item_12,xibonécani,toys,n15bonecax,word,understands; produces,doll,doll
item_13,pawu,food_drink,n16popawa,word,understands; produces,bread,bread
item_14,docane,food_drink,n17docesdo,word,understands; produces,sweets,sweets
item_15,mpunga,food_drink,n18arrozmp,word,understands; produces,rice,rice
item_16,xi bubutela / buláti / bulaxa,food_drink,n19biscuit,word,understands; produces,biscuits / cookie,cookie
item_17,txána,food_drink,n20chatxna,word,understands; produces,tea,tea
item_18,uswha,food_drink,n21ximausw,word,understands; produces,polenta-like food,
item_19,xilembe,clothing,n22chapeux,word,understands; produces,cap / hat,hat
item_20,bulúkú,clothing,n23calasbu,word,understands; produces,trousers,pants
item_21,xifambu,clothing,n24sapatox,word,understands; produces,shoe,shoe
item_22,hémbe,clothing,n25camisah,word,understands; produces,shirt,shirt
item_23,tíhlo / mahlu,body_parts,n26olhothl,word,understands; produces,eye,eye
item_24,nhloko,body_parts,n27cabezan,word,understands; produces,head,head
item_25,nengue,body_parts,n28pernane,word,understands; produces,leg,leg
item_26,nhómpfú,body_parts,n29nariznh,word,understands; produces,nose,nose
item_27,tínyó,body_parts,n30dentetn,word,understands; produces,tooth,tooth
item_28,xithrámú / xistulu,furniture_rooms,n31cadeira,word,understands; produces,chair,chair
item_29,stofada / sofa,furniture_rooms,n32sofasto,word,understands; produces,sofa / couch,couch
item_30,xi kóti,furniture_rooms,n33casadeb,word,understands; produces,toilet,toilet
item_31,hi méza / tafula,furniture_rooms,n34mesamza,word,understands; produces,table,table
item_32,fone,household,n35celcelu,word,understands; produces,cell phone,cell phone
item_33,gúmana / volo,household,n36mantavl,word,understands; produces,blanket,blanket
