itemID,definition,category,item,type,choices,gloss,uni_lemma
item_1,aïe,sounds,aïe,word,understands; produces,ouch,ouch
item_2,bêê-bêê (mouton),sounds,bêê-bêê (mouton),word,understands; produces,baa baa (sheep),baa baa
item_3,cocorico (coq),sounds,cocorico (coq),word,understands; produces,cockadoodledoo (rooster),cockadoodledoo
item_4,coin-coin (canard),sounds,coin-coin (canard),word,understands; produces,quack (duck),quack quack
item_5,grrrr (grognement),sounds,grrrr (grognement),word,understands; produces,grr (growl),grrr
item_6,meuh (vache),sounds,meuh (vache),word,understands; produces,moo (cow),moo
item_7,miam-miam,sounds,miam-miam,word,understands; produces,yum,yum yum
item_8,miaou (chat),sounds,miaou (chat),word,understands; produces,meow (cat),meow
item_9,oh oh,sounds,oh oh,word,understands; produces,uh oh,uh oh
item_10,ouaf-ouaf (chien),sounds,ouaf-ouaf (chien),word,understands; produces,woof (dog),woof woof
item_11,tchou-tchou (train),sounds,tchou-tchou (train),word,understands; produces,choo choo (train),choo choo
item_12,vroum (voiture),sounds,vroum (voiture),word,understands; produces,vroom (car),vroom
item_13,animal,animals,animal,word,understands; produces,animal,animal
item_14,abeille,animals,abeille,word,understands; produces,bee,bee
item_15,agneau,animals,agneau,word,understands; produces,lamb,lamb
item_16,âne,animals,âne,word,understands; produces,donkey,donkey
item_17,araignée,animals,araignée,word,understands; produces,spider,spider
item_18,bébé chat,animals,bébé chat,word,understands; produces,kitten,kitten
item_19,bébé chien,animals,bébé chien,word,understands; produces,puppy,puppy
item_20,canard,animals,canard,word,understands; produces,duck,duck
item_21,cerf,animals,cerf,word,understands; produces,deer,deer
item_22,chat,animals,chat,word,understands; produces,cat,cat
item_23,cheval,animals,cheval,word,understands; produces,horse,horse
item_24,chien,animals,chien,word,understands; produces,dog,dog
item_25,cochon,animals,cochon,word,understands; produces,pig,pig
item_26,dindon,animals,dindon,word,understands; produces,turkey,turkey
item_27,écureuil,animals,écureuil,word,understands; produces,squirrel,squirrel
item_28,éléphant,animals,éléphant,word,understands; produces,elephant,elephant
item_29,girafe,animals,girafe,word,understands; produces,giraffe,giraffe
item_30,grenouille,animals,grenouille,word,understands; produces,frog,frog
item_31,hibou,animals,hibou,word,understands; produces,owl,owl
item_32,lapin,animals,lapin,word,understands; produces,bunny / rabbit,bunny
item_33,lion,animals,lion,word,understands; produces,lion,lion
item_34,mouton,animals,mouton,word,understands; produces,sheep,sheep
item_35,oie,animals,oie,word,understands; produces,goose,goose
item_36,oiseau,animals,oiseau,word,understands; produces,bird,bird
item_37,ours,animals,ours,word,understands; produces,bear,bear
item_38,papillon,animals,papillon,word,understands; produces,butterfly,butterfly
item_39,pingouin,animals,pingouin,word,understands; produces,penguin,penguin
item_40,poisson,animals,poisson,word,understands; produces,fish,fish (animal)
item_41,poney,animals,poney,word,understands; produces,pony,pony
item_42,poule,animals,poule,word,understands; produces,chicken,chicken (animal)
item_43,singe,animals,singe,word,understands; produces,monkey,monkey
item_44,souris,animals,souris,word,understands; produces,mouse,mouse
item_45,tigre,animals,tigre,word,understands; produces,tiger,tiger
item_46,tortue,animals,tortue,word,understands; produces,turtle,turtle
item_47,vache,animals,vache,word,understands; produces,cow,cow
item_48,avion,vehicles,avion,word,understands; produces,aeroplane / plane,airplane
item_49,bateau,vehicles,bateau,word,understands; produces,boat,boat
item_50,bus,vehicles,bus,word,understands; produces,bus,bus
item_51,camion,vehicles,camion,word,understands; produces,lorry / truck,truck
item_52,camion de pompier,vehicles,camion de pompier,word,understands; produces,fire engine,firetruck
item_53,moto,vehicles,moto,word,understands; produces,motor-bike,motorcycle
item_54,poussette,vehicles,poussette,word,understands; produces,pushchair / buggy,stroller
item_55,train,vehicles,train,word,understands; produces,train,train
item_56,vélo,vehicles,vélo,word,understands; produces,bicycle / bike,bicycle
item_57,voiture,vehicles,voiture,word,understands; produces,car,car
item_58,balle,toys,balle,word,understands; produces,ball,ball
item_59,ballon (de baudruche),toys,ballon (de baudruche),word,understands; produces,balloon,balloon
item_60,bulles,toys,bulles,word,understands; produces,bubble,bubbles
item_61,cube,toys,cube,word,understands; produces,block / brick,blocks
item_62,jouet,toys,jouet,word,understands; produces,toy,toy (object)
item_63,livre,toys,livre,word,understands; produces,book,book
item_64,nounours,toys,nounours,word,understands; produces,teddy bear,teddybear
item_65,poupée,toys,poupée,word,understands; produces,doll,doll
item_66,stylo,toys,stylo,word,understands; produces,pen,pen
item_67,banane,food_drink,banane,word,understands; produces,banana,banana
item_68,beurre,food_drink,beurre,word,understands; produces,butter,butter
item_69,boisson,food_drink,boisson,word,understands; produces,drink,drink (beverage)
item_70,bonbons,food_drink,bonbons,word,understands; produces,sweets,sweets
item_71,café,food_drink,café,word,understands; produces,coffee,coffee
item_72,carotte,food_drink,carotte,word,understands; produces,carrot,carrot
item_73,céréales,food_drink,céréales,word,understands; produces,cereal,cereal
item_74,confiture,food_drink,confiture,word,understands; produces,jam,jam
item_75,eau,food_drink,eau,word,understands; produces,water,water
item_76,frites,food_drink,frites,word,understands; produces,chips,chips
item_77,fromage,food_drink,fromage,word,understands; produces,cheese,cheese
item_78,gâteau,food_drink,gâteau,word,understands; produces,cake,cake
item_79,glace,food_drink,glace,word,understands; produces,ice cream,ice cream
item_80,jus de fruit,food_drink,jus de fruit,word,understands; produces,juice,juice
item_81,lait,food_drink,lait,word,understands; produces,milk,milk
item_82,nourriture,food_drink,nourriture,word,understands; produces,food,food
item_83,oeuf,food_drink,oeuf,word,understands; produces,egg,egg
item_84,orange,food_drink,orange,word,understands; produces,orange,orange (food)
item_85,pain,food_drink,pain,word,understands; produces,bread,bread
item_86,pâtes / spaghetti,food_drink,pâtes / spaghetti,word,understands; produces,pasta / spaghetti,pasta
item_87,petits pois,food_drink,petits pois,word,understands; produces,peas,peas
item_88,petits gâteaux,food_drink,petits gâteaux,word,understands; produces,biscuit,biscuit
item_89,pizza,food_drink,pizza,word,understands; produces,pizza,pizza
item_90,poisson,food_drink,poisson,word,understands; produces,fish,fish (food)
item_91,pomme,food_drink,pomme,word,understands; produces,apple,apple
item_92,poulet,food_drink,poulet,word,understands; produces,chicken,chicken (food)
item_93,tartine,food_drink,tartine,word,understands; produces,toast,toast
item_94,thé,food_drink,thé,word,understands; produces,tea,tea
item_95,viande,food_drink,viande,word,understands; produces,meat,meat
item_96,bouche,body_parts,bouche,word,understands; produces,mouth,mouth
item_97,bras,body_parts,bras,word,understands; produces,arm,arm
item_98,cheveux,body_parts,cheveux,word,understands; produces,hair,hair
