itemID,definition,category,item,type,choices,gloss,uni_lemma
item_1,¡ay!,sounds,¡ay!,word,understands; produces,ouch,ouch
item_2,beeee (oveja),sounds,beeee (oveja),word,understands; produces,baa baa (sheep),baa baa
item_3,chu chu (tren),sounds,chu chu (tren),word,understands; produces,choo choo (train),choo choo
item_4,cuá-cuá (pato),sounds,cuá-cuá (pato),word,understands; produces,quack (duck),quack quack
item_5,grr (gruñido),sounds,grr (gruñido),word,understands; produces,grr (growl),grrr
item_6,guau-guáu (perro),sounds,guau-guáu (perro),word,understands; produces,woof (dog),woof woof
item_7,miau (gato),sounds,miau (gato),word,understands; produces,meow (cat),meow
item_8,muu (vaca),sounds,muu (vaca),word,understands; produces,moo (cow),moo
item_9,ñam ñam,sounds,ñam ñam,word,understands; produces,yum,yum yum
item_10,oh oh,sounds,oh oh,word,understands; produces,uh oh,uh oh
item_11,quiquiriquí (gallo),sounds,quiquiriquí (gallo),word,understands; produces,cockadoodledoo (rooster),cockadoodledoo
item_12,rum rum (coche),sounds,rum rum (coche),word,understands; produces,vroom (car),vroom
item_13,abeja,animals,abeja,word,understands; produces,bee,bee
item_14,animal,animals,animal,word,understands; produces,animal,animal
item_15,araña,animals,araña,word,understands; produces,spider,spider
item_16,ardilla,animals,ardilla,word,understands; produces,squirrel,squirrel
item_17,búho,animals,búho,word,understands; produces,owl,owl
item_18,burro,animals,burro,word,understands; produces,donkey,donkey
item_19,caballo,animals,caballo,word,understands; produces,horse,horse
item_20,cerdo / chancho (Arg.) / puerco (Méx.) / cochino / marrano (Col.),animals,cerdo / chancho (Arg.) / puerco (Méx.) / cochino / marrano (Col.),word,understands; produces,pig,pig
item_21,ciervo,animals,ciervo,word,understands; produces,deer,deer
item_22,conejo / conejito,animals,conejo / conejito,word,understands; produces,bunny / rabbit,bunny
item_23,cordero,animals,cordero,word,understands; produces,lamb,lamb
item_24,elefante,animals,elefante,word,understands; produces,elephant,elephant
item_25,gatito,animals,gatito,word,understands; produces,kitten,kitten
item_26,gato,animals,gato,word,understands; produces,cat,cat
item_27,jirafa,animals,jirafa,word,understands; produces,giraffe,giraffe
item_28,león,animals,león,word,understands; produces,lion,lion
item_29,mariposa,animals,mariposa,word,understands; produces,butterfly,butterfly
item_30,mono,animals,mono,word,understands; produces,monkey,monkey
item_31,oca / ganso,animals,oca / ganso,word,understands; produces,goose,goose
item_32,oso,animals,oso,word,understands; produces,bear,bear
item_33,oveja,animals,oveja,word,understands; produces,sheep,sheep
item_34,pájaro,animals,pájaro,word,understands; produces,bird,bird
item_35,pato,animals,pato,word,understands; produces,duck,duck
item_36,pavo,animals,pavo,word,understands; produces,turkey,turkey
item_37,perrito,animals,perrito,word,understands; produces,puppy,puppy
item_38,perro,animals,perro,word,understands; produces,dog,dog
item_39,pez,animals,pez,word,understands; produces,fish,fish (animal)
item_40,pingüino,animals,pingüino,word,understands; produces,penguin,penguin
item_41,pollo / pollito,animals,pollo / pollito,word,understands; produces,chicken,chicken (animal)
item_42,poni,animals,poni,word,understands; produces,pony,pony
item_43,rana,animals,rana,word,understands; produces,frog,frog
item_44,ratón,animals,ratón,word,understands; produces,mouse,mouse
item_45,tigre,animals,tigre,word,understands; produces,tiger,tiger
item_46,tortuga,animals,tortuga,word,understands; produces,turtle,turtle
item_47,vaca,animals,vaca,word,understands; produces,cow,cow
item_48,"autobús / bus (Esp., Col.) / colectivo (Arg.) / guagua (Can.)",vehicles,"autobús / bus (Esp., Col.) / colectivo (Arg.) / guagua (Can.)",word,understands; produces,bus,bus
item_49,avión,vehicles,avión,word,understands; produces,aeroplane / plane,airplane
item_50,barco,vehicles,barco,word,understands; produces,boat,boat
item_51,bicicleta / bici,vehicles,bicicleta / bici,word,understands; produces,bicycle / bike,bicycle
item_52,camión,vehicles,camión,word,understands; produces,lorry / truck,truck
item_53,camión de bomberos,vehicles,camión de bomberos,word,understands; produces,fire engine,firetruck
item_54,"coche (Esp.) / carro (Méx., Col.) / auto (Arg.)",vehicles,"coche (Esp.) / carro (Méx., Col.) / auto (Arg.)",word,understands; produces,car,car
item_55,cochecito (de bebé),vehicles,cochecito (de bebé),word,understands; produces,pushchair / buggy,stroller
item_56,moto,vehicles,moto,word,understands; produces,motor-bike,motorcycle
item_57,tren,vehicles,tren,word,understands; produces,train,train
item_58,bloque (de juguete),toys,bloque (de juguete),word,understands; produces,block / brick,blocks
