field,column,group,type
,Response ID,,
sex,Child's gender,child,sex
mom_ed,Mother's highest educational qualification,child,mom_ed
,Father's highest educational qualification,,
,Overall language exposure - Portuguese,,
,Overall language exposure - English,,
,Overall language exposure - Other,,
,Overall language exposure - Other - Text,,
languages,exp_por,admin,language
languages,exp_eng,admin,language
languages,exp_oth,admin,language
,Home language exposure - Portuguese,,
,Home language exposure - English,,
,Home language exposure - Other(s),,
,Home language exposure - Other(s) - Text,,
,Mother native - Selected Choice,,
,Mother native - Other(s) - Text,,
,Mother's proficiency - Portuguese,,
,Mother's proficiency - English,,
,Mother's proficiency - Other,,
,Mother's proficiency - Other - Text,,
,Mother's child language,,
,Father native - Selected Choice,,
,Father native - Other(s) - Text,,
,Father's proficiency - Portuguese,,
,Father's proficiency - English,,
,Father's proficiency - Other,,
,Father's proficiency - Other - Text,,
,Father's child language,,
,Birth order - Selected Choice,,
,Birth order - Other - Text,,
birth_order,birth_order,child,birth_order
,Nursery start age - Age in months,,
,Nursery language,,
,Immersion - months,,
item_1,Sounds - au!,item,word
item_2,Sounds - au au / ão ão (cão),item,word
item_3,Sounds - brum-brum (carro),item,word
item_4,Sounds - chu chu (comboio),item,word
item_5,Sounds - cócorocó (galo),item,word
item_6,Sounds - grrr! (grunhido),item,word
item_7,Sounds - mé mé (ovelha),item,word
item_8,Sounds - miau (gato),item,word
item_9,Sounds - muuu (vaca),item,word
item_10,Sounds - nham nham,item,word
item_11,Sounds - oh!,item,word
item_12,Sounds - quá-quá (pato),item,word
item_14,Animals - abelha,item,word
item_15,Animals - animal / bicho,item,word
item_16,Animals - aranha,item,word
item_13,Animals - borboleta,item,word
item_17,Animals - burro,item,word
item_18,Animals - cachorro,item,word
item_19,Animals - cão,item,word
item_20,Animals - cavalo,item,word
item_21,Animals - coelho,item,word
item_22,Animals - cordeiro,item,word
item_23,Animals - coruja,item,word
item_24,Animals - elefante,item,word
item_25,Animals - esquilo,item,word
item_26,Animals - galinha,item,word
item_27,Animals - ganso,item,word
item_28,Animals - gatinho,item,word
item_29,Animals - gato,item,word
item_30,Animals - girafa,item,word
item_31,Animals - leão,item,word
item_32,Animals - macaco,item,word
item_33,Animals - ovelha,item,word
item_34,Animals - pássaro,item,word
item_35,Animals - pato,item,word
item_36,Animals - peixe,item,word
item_37,Animals - peru,item,word
item_38,Animals - pinguim,item,word
item_39,Animals - pónei,item,word
item_40,Animals - porco,item,word
item_41,Animals - rato,item,word
item_42,Animals - sapo,item,word
item_43,Animals - tartaruga,item,word
item_44,Animals - tigre,item,word
item_45,Animals - urso,item,word
item_46,Animals - vaca,item,word
item_47,Animals - veado,item,word
item_48,Vehicles - autocarro,item,word
item_49,Vehicles - avião,item,word
item_50,Vehicles - barco,item,word
item_51,Vehicles - bicicleta,item,word
item_52,Vehicles - camião,item,word
item_53,Vehicles - carrinho de bebé / de passeio,item,word
item_54,Vehicles - carro / pópó,item,word
item_55,Vehicles - carro de bombeiros,item,word
item_56,Vehicles - comboio,item,word
item_57,Vehicles - moto/a,item,word
item_58,Toys - balão,item,word
item_59,Toys - bola,item,word
item_60,Toys - bolha (de sabão),item,word
item_61,Toys - boneca,item,word
item_62,Toys - brinquedo,item,word
item_63,Toys - caneta,item,word
item_64,Toys - cubo,item,word
item_65,Toys - livro,item,word
item_66,Toys - urso de peluche,item,word
item_67,Food and Drink - água,item,word
item_68,Food and Drink - banana,item,word
item_69,Food and Drink - batatas fritas,item,word
item_70,Food and Drink - bebida,item,word
item_71,Food and Drink - biscoito,item,word
item_72,Food and Drink - bolo,item,word
item_73,Food and Drink - café,item,word
item_74,Food and Drink - carne,item,word
item_75,Food and Drink - cenoura,item,word
item_76,Food and Drink - cereais,item,word
item_77,Food and Drink - chá,item,word
item_78,Food and Drink - doces,item,word
item_79,Food and Drink - ervilhas,item,word
item_80,Food and Drink - frango,item,word
item_81,Food and Drink - gelado,item,word
item_82,Food and Drink - geléia / marmelada,item,word
item_83,Food and Drink - laranja,item,word
item_84,Food and Drink - leite,item,word
item_85,Food and Drink - maçã,item,word
item_86,Food and Drink - manteiga,item,word
item_87,Food and Drink - massa,item,word
item_88,Food and Drink - ovo,item,word
item_89,Food and Drink - pão,item,word
item_90,Food and Drink - papa / comida,item,word
item_91,Food and Drink - peixe,item,word
item_92,Food and Drink - piza,item,word
item_93,Food and Drink - queijo,item,word
item_94,Food and Drink - sumo,item,word
item_95,Food and Drink - torrada,item,word
item_96,Body Parts - barriga,item,word
item_97,Body Parts - boca,item,word
item_98,Body Parts - bochecha,item,word
item_99,Body Parts - braço,item,word
item_100,Body Parts - cabeça,item,word
item_101,Body Parts - cabelo,item,word
item_102,Body Parts - cara,item,word
item_103,Body Parts - dedo,item,word
item_104,Body Parts - dedo do pé,item,word
item_105,Body Parts - dente(s),item,word
item_106,Body Parts - joelho,item,word
item_107,Body Parts - língua,item,word
item_108,Body Parts - mão(s),item,word
item_109,Body Parts - nariz,item,word
item_110,Body Parts - olho(s),item,word
item_111,Body Parts - ouvido(s),item,word
item_112,Body Parts - pé(s),item,word
item_113,Body Parts - perna(s),item,word
item_114,Body Parts - umbigo,item,word
item_115,Body Parts - unha(s),item,word
item_116,Clothes - babete,item,word
item_117,Clothes - bota(s),item,word
item_118,Clothes - botão,item,word
item_119,Clothes - calças,item,word
item_120,Clothes - calções,item,word
item_121,Clothes - camisa,item,word
item_122,Clothes - camisola,item,word
item_123,Clothes - casaco,item,word
item_124,Clothes - chapéu,item,word
item_125,Clothes - colar / fio,item,word
item_126,Clothes - fecho,item,word
item_127,Clothes - fralda,item,word
item_128,Clothes - jeans,item,word
item_129,Clothes - kispo / blusão,item,word
item_130,Clothes - meia(s),item,word
item_131,Clothes - óculos,item,word
item_132,Clothes - pijama,item,word
item_133,Clothes - sapato(s),item,word
item_134,Clothes - vestido,item,word
item_135,Furniture and Rooms - bacio / penico,item,word
item_136,Furniture and Rooms - banheira,item,word
item_137,Furniture and Rooms - berço,item,word
item_138,Furniture and Rooms - cadeira,item,word
item_139,Furniture and Rooms - cadeira alta / da papa,item,word
item_140,Furniture and Rooms - cadeira de balanço,item,word
item_141,Furniture and Rooms - cama,item,word
item_142,Furniture and Rooms - casa / quarto de banho,item,word
item_143,Furniture and Rooms - cozinha,item,word
item_144,Furniture and Rooms - escadas,item,word
item_145,Furniture and Rooms - fogão / forno,item,word
item_146,Furniture and Rooms - frigorífico,item,word
item_147,Furniture and Rooms - garagem,item,word
item_148,Furniture and Rooms - gaveta,item,word
item_149,Furniture and Rooms - janela,item,word
item_150,Furniture and Rooms - lava-loiça / lavatório,item,word
item_151,Furniture and Rooms - mesa,item,word
item_152,Furniture and Rooms - parque (em casa),item,word
item_153,Furniture and Rooms - porta,item,word
item_154,Furniture and Rooms - quarto,item,word
item_155,Furniture and Rooms - sala (de estar),item,word
item_156,Furniture and Rooms - sofá,item,word
item_157,Furniture and Rooms - televisão / TV,item,word
item_158,Outside - água,item,word
item_159,Outside - árvore,item,word
item_160,Outside - balde,item,word
item_161,Outside - baloiço,item,word
item_162,Outside - casa,item,word
item_163,Outside - céu,item,word
item_164,Outside - chuva,item,word
item_165,Outside - escola / colégio,item,word
item_166,Outside - escorrega,item,word
item_167,Outside - estrela,item,word
item_168,Outside - festa,item,word
item_169,Outside - flôr,item,word
item_170,Outside - fora,item,word
item_171,Outside - igreja,item,word
item_172,Outside - jardim,item,word
