field,column,group,type
study_id,Code,child,study_id
date_of_test,Date,admin,date_of_test
date_of_birth,DoB,child,date_of_birth
,exact age (in day),,
data_age,age_mo,admin,data_age
sex,genre,child,sex
,langue,,
languages,lang1,admin,language
languages,lang2,admin,language
languages,lang3,admin,language
languages,lang4,admin,language
languages,lang5,admin,language
mom_ed,education level for mother (years),child,mom_ed
,education level for mother (years),,
item_1,01.1 animal,item,word
item_2,01.2 ours,item,word
item_3,01.3 abeille,item,word
item_4,01.4 oiseau,item,word
item_5,01.5 petite bête,item,word
item_6,01.6 lapin,item,word
item_7,01.7 papillon,item,word
item_8,01.8 chat,item,word
item_9,01.9 poule,item,word
item_10,01.10 vache,item,word
item_11,01.11 biche,item,word
item_12,01.12 chien,item,word
item_13,01.13 âne,item,word
item_14,01.14 canard,item,word
item_15,01.15 éléphant,item,word
item_16,01.16 poisson,item,word
item_17,01.17 grenouille,item,word
item_18,01.18 girafe,item,word
item_19,01.19 chèvre,item,word
item_20,01.20 oie,item,word
item_21,01.21 cheval,item,word
item_22,01.22 chaton,item,word
item_23,01.23 agneau,item,word
item_24,01.24 lion,item,word
item_25,01.25 bébé chat,item,word
item_26,01.26 souris,item,word
item_27,01.27 hibou,item,word
item_28,01.28 pingouin,item,word
item_29,01.29 cochon,item,word
item_30,01.30 poney,item,word
item_31,01.31 chiot,item,word
item_32,01.32 mouton,item,word
item_33,01.33 écureuil,item,word
item_34,01.34 nounours,item,word
item_35,01.35 tigre,item,word
item_36,01.36 dindon,item,word
item_37,01.37 tortue,item,word
item_38,01.38 crocodile,item,word
item_39,01.39 fourmi,item,word
item_40,01.40 renne,item,word
item_41,01.41 coq,item,word
item_42,01.42 loup,item,word
item_43,01.43 zèbre,item,word
item_44,02.44 avion,item,word
item_45,02.45 vélo,item,word
item_46,02.46 bus,item,word
item_47,02.47 voiture,item,word
item_48,02.48 camion de pompier,item,word
item_49,02.49 moto,item,word
item_50,02.50 poussette,item,word
item_51,02.51 train,item,word
item_52,02.52 camion,item,word
item_53,02.53 bateau,item,word
item_54,02.54 hélicoptère,item,word
item_55,02.55 traîneau,item,word
item_56,02.56 tracteur,item,word
item_57,02.57 tricycle,item,word
item_58,03.58 balle,item,word
item_59,03.59 ballon,item,word
item_60,03.60 cube,item,word
item_61,03.61 livre,item,word
item_62,03.62 bulle,item,word
item_63,03.63 poupée,item,word
item_64,03.64 crayon,item,word
item_65,03.65 stylo,item,word
item_66,03.66 jouet,item,word
item_67,03.67 raquette,item,word
item_68,03.68 craie,item,word
item_69,03.69 jeu,item,word
item_70,03.70 colle,item,word
item_71,03.71 pâte à modeler,item,word
item_72,03.72 cadeau,item,word
item_73,03.73 puzzle,item,word
item_74,03.74 histoire,item,word
item_75,03.75 feutre,item,word
item_76,04.76 lait,item,word
item_77,04.77 céréales,item,word
item_78,04.78 cornflakes,item,word
item_79,04.79 orange,item,word
item_80,04.80 fromage,item,word
item_81,04.81 petits pots,item,word
item_82,04.82 poulet,item,word
item_83,04.83 pizza,item,word
item_84,04.84 café,item,word
item_85,04.85 raisin,item,word
item_86,04.86 petits gâteaux,item,word
item_87,04.87 spaghetti,item,word
item_88,04.88 gâteau apéro,item,word
item_89,04.89 tartine,item,word
item_90,04.90 pomme,item,word
item_91,04.91 oeuf,item,word
item_92,04.92 banane,item,word
item_93,04.93 poisson,item,word
item_94,04.94 pain,item,word
item_95,04.95 nourriture,item,word
item_96,04.96 beurre,item,word
item_97,04.97 glace,item,word
item_98,04.98 gâteau,item,word
item_99,04.99 jus de fruit,item,word
item_100,04.100 sucre,item,word
item_101,04.101 viande,item,word
item_102,04.102 carotte,item,word
item_103,04.103 boisson,item,word
item_104,04.104 eau,item,word
item_105,04.105 clémentine,item,word
item_106,04.106 purée,item,word
item_107,04.107 petits pois,item,word
item_108,04.108 baguette,item,word
item_109,04.109 soupe,item,word
item_110,04.110 pâtes,item,word
item_111,04.111 thon,item,word
item_112,04.112 kiwi,item,word
item_113,04.113 compote,item,word
item_114,04.114 haricot,item,word
item_115,04.115 chocolat,item,word
item_116,04.116 coca,item,word
item_117,04.117 maïs,item,word
item_118,04.118 beignet,item,word
item_119,04.119 frites,item,word
item_120,04.120 haricots verts,item,word
item_121,04.121 chewing-gum,item,word
item_122,04.122 hamburger,item,word
item_123,04.123 glaçon,item,word
item_124,04.124 vitamines,item,word
item_125,04.125 bonbons,item,word
item_126,04.126 confiture,item,word
item_127,04.127 yaourt,item,word
item_128,04.128 sucette,item,word
item_129,04.129 melon,item,word
item_130,04.130 madeleine,item,word
item_131,04.131 noisette,item,word
item_132,04.132 crêpe,item,word
item_133,04.133 nutella,item,word
item_134,04.134 mayonnaise,item,word
item_135,04.135 pop-corn,item,word
item_136,04.136 esquimau,item,word
