item_id,language,form,form_type,item_kind,category,item,item_definition,english_gloss,uni_lemma
item_1,French (French),WS,WS,word,animals,01.1 animal,animal,animal,animal
item_2,French (French),WS,WS,word,animals,01.2 ours,ours,bear,bear
item_3,French (French),WS,WS,word,animals,01.3 abeille,abeille,bee,bee
item_4,French (French),WS,WS,word,animals,01.4 oiseau,oiseau,bird,bird
item_5,French (French),WS,WS,word,animals,01.5 petite bête,petite bête,bug,bug
item_6,French (French),WS,WS,word,animals,01.6 lapin,lapin,bunny,bunny
item_7,French (French),WS,WS,word,animals,01.7 papillon,papillon,butterfly,butterfly
item_8,French (French),WS,WS,word,animals,01.8 chat,chat,cat,cat
item_9,French (French),WS,WS,word,animals,01.9 poule,poule,chicken (animal),chicken (animal)
item_10,French (French),WS,WS,word,animals,01.10 vache,vache,cow,cow
item_11,French (French),WS,WS,word,animals,01.11 biche,biche,deer,deer
item_12,French (French),WS,WS,word,animals,01.12 chien,chien,dog,dog
item_13,French (French),WS,WS,word,animals,01.13 âne,âne,donkey,donkey
item_14,French (French),WS,WS,word,animals,01.14 canard,canard,duck,duck
item_15,French (French),WS,WS,word,animals,01.15 éléphant,éléphant,elephant,elephant
item_16,French (French),WS,WS,word,animals,01.16 poisson,poisson,fish (animal),fish (animal)
item_17,French (French),WS,WS,word,animals,01.17 grenouille,grenouille,frog,frog
item_18,French (French),WS,WS,word,animals,01.18 girafe,girafe,giraffe,giraffe
item_19,French (French),WS,WS,word,animals,01.19 chèvre,chèvre,goat,goat
item_20,French (French),WS,WS,word,animals,01.20 oie,oie,goose,goose
item_21,French (French),WS,WS,word,animals,01.21 cheval,cheval,horse,horse
item_22,French (French),WS,WS,word,animals,01.22 chaton,chaton,kitten,kitty
item_23,French (French),WS,WS,word,animals,01.23 agneau,agneau,lamb,lamb
item_24,French (French),WS,WS,word,animals,01.24 lion,lion,lion,lion
item_25,French (French),WS,WS,word,animals,01.25 bébé chat,bébé chat,kitty,kitty
item_26,French (French),WS,WS,word,animals,01.26 souris,souris,mouse,mouse
item_27,French (French),WS,WS,word,animals,01.27 hibou,hibou,owl,owl
item_28,French (French),WS,WS,word,animals,01.28 pingouin,pingouin,penguin,penguin
item_29,French (French),WS,WS,word,animals,01.29 cochon,cochon,pig,pig
item_30,French (French),WS,WS,word,animals,01.30 poney,poney,pony,pony
item_31,French (French),WS,WS,word,animals,01.31 chiot,chiot,puppy,puppy
item_32,French (French),WS,WS,word,animals,01.32 mouton,mouton,sheep,sheep
item_33,French (French),WS,WS,word,animals,01.33 écureuil,écureuil,squirrel,squirrel
item_34,French (French),WS,WS,word,animals,01.34 nounours,nounours,teddybear,teddybear
item_35,French (French),WS,WS,word,animals,01.35 tigre,tigre,tiger,tiger
item_36,French (French),WS,WS,word,animals,01.36 dindon,dindon,turkey,turkey
item_37,French (French),WS,WS,word,animals,01.37 tortue,tortue,turtle,turtle
