field,column,group,type
,Response ID,,
sex,Child's gender,child,sex
mom_ed,Mother's highest educational qualification,child,mom_ed
,Father's highest educational qualification,,
,Overall language exposure - German,,
,Overall language exposure - English,,
,Overall language exposure - Other,,
,Overall language exposure - Other - Text,,
languages,exp_deu,admin,language
languages,exp_eng,admin,language
languages,exp_oth,admin,language
,Home language exposure - German,,
,Home language exposure - English,,
,Home language exposure - Other(s),,
,Home language exposure - Other(s) - Text,,
,Mother native - Selected Choice,,
,Mother native - Other(s) - Text,,
,Mother's proficiency - German,,
,Mother's proficiency - English,,
,Mother's proficiency - Other,,
,Mother's proficiency - Other - Text,,
,Mother's child language,,
,Father native - Selected Choice,,
,Father native - Other(s) - Text,,
,Father's proficiency - German,,
,Father's proficiency - English,,
,Father's proficiency - Other,,
,Father's proficiency - Other - Text,,
,Father's child language,,
,Birth order - Selected Choice,,
,Birth order - Other - Text,,
birth_order,birth_order,child,birth_order
,Nursery start age - Age in months,,
,Nursery language,,
,Immersion - months,,
item_1,Sounds - Autsch,item,word
item_2,Sounds - Brumm Brumm (Auto),item,word
item_3,Sounds - Grr (knurren),item,word
item_4,Sounds - Kikeriki (Hahn),item,word
item_5,Sounds - Mäh (Schaf),item,word
item_6,Sounds - Miau (Katze),item,word
item_7,Sounds - Mmhh,item,word
item_8,Sounds - Muh (Kuh),item,word
item_9,Sounds - Oh Oh,item,word
item_10,Sounds - Quak Quak (Ente),item,word
item_11,Sounds - Tut Tut (Bahn),item,word
item_12,Sounds - Wuff (Hund),item,word
item_14,Animals - Affe,item,word
item_15,Animals - Bär,item,word
item_16,Animals - Biene,item,word
item_13,Animals - Eichhörnchen,item,word
item_17,Animals - Elefant,item,word
item_18,Animals - Ente,item,word
item_19,Animals - Esel,item,word
item_20,Animals - Eule,item,word
item_21,Animals - Fisch,item,word
item_22,Animals - Frosch,item,word
item_23,Animals - Gans,item,word
item_24,Animals - Giraffe,item,word
item_25,Animals - Hase,item,word
item_26,Animals - Huhn,item,word
item_27,Animals - Hund,item,word
item_28,Animals - Hündchen,item,word
item_29,Animals - Kätzchen,item,word
item_30,Animals - Katze,item,word
item_31,Animals - Kuh,item,word
item_32,Animals - Lamm,item,word
item_33,Animals - Löwe,item,word
item_34,Animals - Maus,item,word
item_35,Animals - Pferd,item,word
item_36,Animals - Pinguin,item,word
item_37,Animals - Pony,item,word
item_38,Animals - Reh,item,word
item_39,Animals - Schaf,item,word
item_40,Animals - Schildkröte,item,word
item_41,Animals - Schmetterling,item,word
item_42,Animals - Schwein,item,word
item_43,Animals - Spinne,item,word
item_44,Animals - Tier,item,word
item_45,Animals - Tiger,item,word
item_46,Animals - Truthahn,item,word
item_47,Animals - Vogel,item,word
item_48,Vehicles - Auto,item,word
item_49,"Vehicles - Bahn (Eisenbahn, Straßenbahn, U-Bahn, S-Bahn, Zug gelten auch)",item,word
item_50,Vehicles - Boot,item,word
item_51,Vehicles - Buggy,item,word
item_52,Vehicles - Bus,item,word
item_53,Vehicles - Fahrrad,item,word
item_54,Vehicles - Feuerwehr(auto),item,word
item_55,Vehicles - Flugzeug,item,word
item_56,Vehicles - Lastwagen / Laster,item,word
item_57,Vehicles - Motorrad,item,word
item_58,Toys - Ball,item,word
item_59,Toys - Buch,item,word
item_60,Toys - Klotz,item,word
item_61,Toys - Luftballon,item,word
item_62,Toys - Puppe,item,word
item_63,Toys - Seifenblase,item,word
item_64,Toys - Spielzeug,item,word
item_65,Toys - Stift,item,word
item_66,Toys - Teddy,item,word
item_67,Food and Drink - Apfel,item,word
item_68,Food and Drink - Banane,item,word
item_69,Food and Drink - Brot,item,word
item_70,Food and Drink - Butter,item,word
item_71,Food and Drink - Eier,item,word
item_72,Food and Drink - Eis,item,word
item_73,Food and Drink - Erbsen,item,word
item_74,Food and Drink - Essen,item,word
item_75,Food and Drink - Fisch,item,word
item_76,Food and Drink - Fleisch,item,word
item_77,Food and Drink - Getränk,item,word
item_78,Food and Drink - Hähnchen,item,word
item_79,Food and Drink - Kaffee,item,word
item_80,Food and Drink - Käse,item,word
item_81,Food and Drink - Keks,item,word
item_82,Food and Drink - Kuchen,item,word
item_83,Food and Drink - Marmelade,item,word
item_84,Food and Drink - Milch,item,word
item_85,Food and Drink - Möhre,item,word
item_86,Food and Drink - Müsli,item,word
item_87,Food and Drink - Orange,item,word
item_88,Food and Drink - Pizza,item,word
item_89,Food and Drink - Pommes,item,word
item_90,Food and Drink - Saft,item,word
item_91,Food and Drink - Spaghetti,item,word
item_92,Food and Drink - Süßigkeiten,item,word
item_93,Food and Drink - Tee,item,word
item_94,Food and Drink - Toast,item,word
item_95,Food and Drink - Wasser,item,word
item_96,Body Parts - Arm,item,word
item_97,Body Parts - Auge,item,word
item_98,Body Parts - Backe,item,word
item_99,Body Parts - Bauch,item,word
item_100,Body Parts - Bauchnabel,item,word
item_101,Body Parts - Bein,item,word
item_102,Body Parts - Finger,item,word
item_103,Body Parts - Fingernagel,item,word
item_104,Body Parts - Fuß,item,word
item_105,Body Parts - Gesicht,item,word
item_106,Body Parts - Haare,item,word
item_107,Body Parts - Hand,item,word
item_108,Body Parts - Knie,item,word
item_109,Body Parts - Kopf,item,word
item_110,Body Parts - Mund,item,word
item_111,Body Parts - Nase,item,word
item_112,Body Parts - Ohr,item,word
item_113,Body Parts - Zahn,item,word
item_114,Body Parts - Zeh,item,word
item_115,Body Parts - Zunge,item,word
item_116,Clothes - Brille,item,word
item_117,Clothes - Hemd,item,word
item_118,Clothes - Hose,item,word
item_119,Clothes - Jacke,item,word
item_120,Clothes - Jeans,item,word
item_121,Clothes - Kette,item,word
item_122,Clothes - Kleid,item,word
item_123,Clothes - Knopf,item,word
item_124,Clothes - Lätzchen,item,word
item_125,Clothes - Mantel,item,word
item_126,Clothes - Mütze,item,word
item_127,Clothes - Pullover,item,word
item_128,Clothes - Reißverschluss,item,word
item_129,Clothes - Schlafanzug,item,word
item_130,Clothes - Schuh,item,word
item_131,Clothes - Shorts,item,word
item_132,Clothes - Socken,item,word
item_133,Clothes - Stiefel,item,word
item_134,Clothes - Windel,item,word
item_135,Furniture and Rooms - Badewanne,item,word
item_136,Furniture and Rooms - Badezimmer / Bad,item,word
item_137,Furniture and Rooms - Bett,item,word
item_138,Furniture and Rooms - Fenster,item,word
item_139,Furniture and Rooms - Fernseher,item,word
item_140,Furniture and Rooms - Garage,item,word
item_141,Furniture and Rooms - Herd,item,word
item_142,Furniture and Rooms - Hochstuhl,item,word
item_143,Furniture and Rooms - Kinderbettchen,item,word
item_144,Furniture and Rooms - Küche,item,word
item_145,Furniture and Rooms - Kühlschrank,item,word
item_146,Furniture and Rooms - Laufstall,item,word
item_147,Furniture and Rooms - Schaukelstuhl,item,word
item_148,Furniture and Rooms - Schlafzimmer,item,word
item_149,Furniture and Rooms - Schublade,item,word
item_150,Furniture and Rooms - Sofa,item,word
item_151,Furniture and Rooms - Stuhl,item,word
item_152,Furniture and Rooms - Tisch,item,word
item_153,Furniture and Rooms - Töpfchen,item,word
item_154,Furniture and Rooms - Treppe,item,word
item_155,Furniture and Rooms - Tür,item,word
item_156,Furniture and Rooms - Waschbecken,item,word
item_157,Furniture and Rooms - Wohnzimmer,item,word
item_158,Outside - Arbeit,item,word
item_159,Outside - Baum,item,word
item_160,Outside - Blume,item,word
item_161,Outside - draußen,item,word
item_162,Outside - Eimer,item,word
item_163,Outside - Garten,item,word
