type,value,data_value
sex,M,Garçon
sex,F,Fille
mom_ed,secondary,"École professionnelle / Brevet Fédéral, Maturité professionnelle ou gymnasiale"
mom_ed,some college,Certificat d'apprentissage
mom_ed,college,"Université, Haute École"
first_signs,yes,Oui
first_signs,no,Non
phrases,understands,Oui
phrases,,Non
starting_to_talk,never,Non
starting_to_talk,sometimes/often,Oui
word,produces,D
word,understands,C
word,,
gestures_first,not yet,Non
gestures_first,sometimes/often,Oui
gestures_games,yes,Oui
gestures_games,no,Non
gestures_objects,yes,Oui
gestures_objects,no,Non
gestures_parent,yes,Oui
gestures_parent,no,Non
gestures_adult,yes,Oui
gestures_adult,no,Non
