field,column,group,type
,ID de la réponse,,
study_id,study_id,child,study_id
date_of_test,Veuillez indiquer la date du jour : ,admin,date_of_test
date_of_birth,Indiquez la date de naissance de votre enfant,child,date_of_birth
data_age,data_age,admin,data_age
sex,Quel est le sexe de votre enfant ?,child,sex
,Est-ce que votre enfant fait partie d'une fratrie (frère-s et/ou soeur-s et/ou enfants vivant sous le même toit) ?,,
,Quelle est la langue que votre enfant entend le plus dans son quotidien ?,,
,Quelle est la langue que votre enfant entend le plus dans son quotidien ? [Autre],,
,Votre enfant a-t-il des maladies physiques chroniques/des retards de développement diagnostiqués ?,,
,Précisez le(s)quel(s) ?,,
,"B. À PROPOS DE VOUS ET DE VOTRE PARTENAIRE*  * Le terme partenaire désigne ici la personne avec qui vous habitez, indépendamment du fait que ce soit le parent biologique de votre enfant ou non.",,
,Avez-vous un partenaire (selon la définition ci-dessus) ?,,
,Veuillez indiquer : [Votre âge][],,
,Veuillez indiquer : [L'âge de votre partenaire][],,
,Veuillez indiquer : [Votre sexe],,
,Veuillez indiquer : [Le sexe de votre partenaire],,
,Veuillez préciser votre sexe,,
,Veuillez préciser le sexe de votre partenaire,,
,Veuillez indiquer : [Votre langue maternelle],,
,Veuillez indiquer : [La langue maternelle de votre partenaire],,
,Veuillez préciser votre langue maternelle,,
,Veuillez préciser la langue maternelle de votre partenaire,,
,Veuillez indiquer : [Votre nationalité],,
,Veuillez indiquer : [La nationalité de votre partenaire],,
,Veuillez préciser votre nationalité,,
,Veuillez préciser la nationalité de votre partenaire,,
mom_ed,Veuillez indiquer : [Votre plus haut niveau d'étude],child,mom_ed
,Veuillez indiquer : [Le plus haut niveau d'étude de votre partenaire],,
,Veuillez indiquer : [Votre occupation professionnelle actuelle],,
,Veuillez indiquer : [L'occupation professionnelle actuelle de votre partenaire],,
,Veuillez préciser votre occupation,,
,Veuillez préciser l'occupation de votre partenaire,,
,Comment décririez-vous la situation financière de votre ménage ?,,
,Quel est le code postal de votre domicile principal ?,,
,Quelle âge a votre enfant ?,,
item_2,#1 Votre enfant réagit…  [Quand on l’appelle par son nom],item,first_signs
item_1,#1 Votre enfant réagit…  [Quand on lui dit « non non »],item,first_signs
item_796,#1 Votre enfant réagit…  [Quand il entend « voilà papa et maman »],item,first_signs
item_27,#2 Votre enfant comprend les phrases …   [Tu as faim ?],item,phrases
item_9,#2 Votre enfant comprend les phrases …   [Fais bravo],item,phrases
item_16,#2 Votre enfant comprend les phrases …   [On s’en va],item,phrases
item_797,#2 Votre enfant comprend les phrases …   [Ça suffit],item,phrases
item_17,#2 Votre enfant comprend les phrases …   [On va faire dodo ],item,phrases
item_5,#2 Votre enfant comprend les phrases …   [Chut],item,phrases
item_19,#2 Votre enfant comprend les phrases …   [On va se promener],item,phrases
item_11,#2 Votre enfant comprend les phrases …   [Fais un câlin à maman ],item,phrases
item_29,#2 Votre enfant comprend les phrases …   [Tu es un amour],item,phrases
item_21,#2 Votre enfant comprend les phrases …   [Papa est là],item,phrases
