field,column,group,type,
birth_order,,child,birth_order,
,CDIage,,,
data_age,data_age,admin,data_age,
date_of_test,CDIDate,admin,date_of_test,
ethnicity,,child,ethnicity,
mom_ed,,child,mom_ed,
sex,Gender,child,sex,
study_id,ParticipantId,child,study_id,
norming,norming,admin,norming,
item_1,RESPNAM,item,first_signs,respname
item_2,RESPNO,item,first_signs,respno
item_3,REACTMD,item,first_signs,reactmd
item_4,AREHNGRY,item,phrases,arehngry
item_5,ARETIRED,item,phrases,aretired
item_6,BECAREFL,item,phrases,becarefl
item_7,BEQUIET,item,phrases,bequiet
item_8,CLAPHAND,item,phrases,claphand
item_9,CGDIAPER,item,phrases,cgdiaper
item_10,COMEHERE,item,phrases,comehere
item_11,MDHOME,item,phrases,mdhome
item_12,WANTMORE,item,phrases,wantmore
item_13,DONTDO,item,phrases,dontdo
item_14,DONTOUCH,item,phrases,dontouch
item_15,GETUP,item,phrases,getup
item_16,GIVEMOM,item,phrases,givemom
item_17,GIVEHUG,item,phrases,givehug
item_18,GIVEKISS,item,phrases,givekiss
item_19,GOGET,item,phrases,goget
item_20,GOODGB,item,phrases,goodgb
item_21,HOLDSTIL,item,phrases,holdstil
item_22,GOBYEBYE,item,phrases,gobyebye
item_23,LOOKHERE,item,phrases,lookhere
item_24,OPENMTH,item,phrases,openmth
item_25,SITDOWN,item,phrases,sitdown
item_26,SPITOUT,item,phrases,spitout
item_27,STOPIT,item,phrases,stopit
item_28,GONIGHT,item,phrases,gonight
item_29,THROWBLL,item,phrases,throwbll
item_30,LITTLPIG,item,phrases,litpiggy
item_31,GORIDE,item,phrases,wantride
item_32,IMITATE,item,starting_to_talk,imitate
item_33,LABEL,item,starting_to_talk,label
item_34,BAABAA,item,word,baa_baa
item_35,CHOOCHOO,item,word,choo_choo
item_36,COCKDDLD,item,word,cockadoodledoo
item_37,GRR,item,word,grrr
item_38,MEOW,item,word,meow
item_39,MOO,item,word,moo
item_40,OUCH,item,word,ouch
item_41,QUACKQCK,item,word,quack_quack
item_42,UHOH,item,word,uh_oh
item_43,VROOM,item,word,vroom
item_44,WOOFWOOF,item,word,woof_woof
item_45,YUMYUM,item,word,yum_yum
item_46,ANIMAL,item,word,animal
item_47,BEAR,item,word,bear
item_48,BEE,item,word,bee
item_49,BIRD,item,word,bird
item_50,BUG,item,word,bug
item_51,BUNNY,item,word,bunny
item_52,BUTTRFLY,item,word,butterfly
item_53,CAT,item,word,cat
item_54,CHICKEN1,item,word,chicken.animal
item_55,COW,item,word,cow
item_56,DEER,item,word,deer
item_57,DOG,item,word,dog
item_58,DONKEY,item,word,donkey
item_59,DUCK,item,word,duck
item_60,ELEPHANT,item,word,elephant
item_61,FISH1,item,word,fish.animal
