study_id,form,study,binder,sex/gender,date filled,age_days,age_mos,completedby,respname,respno,reactmd,arehngry,aretired,becarefl,bequiet,claphand,cgdiaper,comehere,mdhome,wantmore,dontdo,dontouch,getup,givemom,givehug,givekiss,goget,goodgb,holdstil,gobyebye,lookhere,openmth,sitdown,spitout,stopit,gonight,throwbll,litpiggy,wantride,imitate,label,baabaa,choochoo,cockddld,grr,meow,moo,ouch,quackqck,uhoh,vroom,woofwoof,yumyum,animal,bear,bee,bird,bug,bunny,buttrfly,cat,chicken1,cow,deer,dog,donkey,duck,elephant,fish1,frog,giraffe,goose,horse,kitty,lamb,lion,monkey,mouse,owl,penguin,pig,pony,puppy,sheep,squirrel,teddyber,tiger,turkey,turtle,airplane,bicycle,bus,car,firetrck,motrcycl,stroller,train,truck,ball,balloon,block,book,bubbles,doll,pen,toy,apple,banana,bread,butter,cake,candy,carrots,cereal,cheerios,cheese,chicken2,coffee,cookie,cracker,drink1,egg,fish2,food,icecream,juice,meat,milk,noodles,orange1,peas,pizza,raisin,spaghett,toast,water1,beads,bib,boots,button,coat,diaper,dress,hat,jacket,jeans,necklace,pajamas,pants,shirt,shoe,shorts,sock,sweater,zipper,arm,bllybttn,cheek,ear,eye,face,foot,finger,hair,hand,head,knee,leg,mouth,nose,owie,tooth,toe,tongue,tummy,blanket,bottle,bowl,box,broom,brush,clock,comb,cup,dish,fork,glass,glasses,hammer,keys,lamp,light,medicine,money,paper,penny,picture,pillow,plant,plate,purse,radio,scissors,soap,spoon,telephone,toothbrush,towel,trash,vacuum,watch1,bathroom,bathtub,bed,bedroom,chair,couch,crib,door,drawer,garage,highchar,kitchen,livingrm,oven,playpen,potty,refrigerator,rockingchair,sink,stairs,stove,table,tv,window,backyard,beach,church,flower,garden,home,house,moon,outside,park,party,pool,rain,rock,school,shovel,sky,slide1,snow,star,store,sun,swing1,tree,water2,work1,zoo,aunt,baby,babysttr,babysittername,boy,brother,child,daddy,girl,grandma,grandpa,lady,man,mommy,childname,people,person,sister,teacher,uncle,bath,breakfst,bye,dinner,dont,hello,hi,lunch,nap,nghtnght,no,patycak,peekaboo,please,shh,thankyou,wait,wanna,yes,bite,blow,break,bring,bump,clean1,close,cry,dance,draw,drink2,drive,eat,fall,feed,finish,get,give,go,help,hit,hug,hurry,jump,kick,kiss,look,love,open,play,pull,push,put,read,ride,run,say,see,show,sing,sleep,smile,splash,stop,swim,swing2,take,throw,tickle,touch,watch2,walk,wash,wipe,write,day,later,morning,night,now,today,tomorrow,tonight,allgone,asleep,bad,big,blue,broken,careful,clean2,cold,cute,dark,dirty,dry2,empty,fast,fine,gentle,good,happy,hard,hot,hungry,hurt,little,naughty,nice,old,pretty,red,scared,sick,sleepy,soft,thirsty,tired,wet,yucky,her,his,i,it,me,mine,my,that,this,you,your,how,what,when,where,who,why,away,back,down,in,inside,off,on,out,there,underprep,upprep,allquant,another,more,none,notquant,other,same,some,armshow,reachout,points,waves,pickup,shakhead,nodhead,showhush,request,blowkiss,smacklip,shrugs,playpeek,patycak2,sobig,chase,dosing,dodance,eatspoon,drinkcup,combhair,bshteeth,wipeface,puthat,putshoe,putwatch,ptdsleep,blowhot,flyplane,ptndtele,snifflow,pushcar,throwges,ptndpour,ptndstir,putobed,cover,feedbotl,feedspon,brushit,burbit,pushit,rockit,kissit,dressit,wipeit,talkit,diaperit,sweep,putkey,pound,usesaw,type,ptndread,dovacuum,waterplt,playmus,ptnddriv,washdish,usecloth,usepen,dig,wearglas,playpretend,id,Comp_items,Comp_items_tot,Prod_items,subnum,Sex,border,numkids,Ethnicity,race,eth,momed,hollingshead,age,Comp,Compptile,Prod,Prodptile,Totgest,Totgestptile,Phrases,Phrasesptile
10002,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-03-30,530,17,NA,1,1,1,1,,,,1,,1,1,1,,1,,1,,,1,1,,1,,,1,,,1,,1,,s,s,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,2,1,,,2,1,,,,,,,,2,,,,,,,2,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,o,o,o,o,o,o,o,o,s,o,o,n,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,10002,20,29,9,10002,M,2,2,A,A,NA,18,63,17,29,0,9,13,47,70,13,12
10003,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-03,513,16,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,o,s,,1,,1,2,,2,1,2,2,2,1,1,,,1,2,1,,2,,,,2,,,,,,,,,2,,,1,,,,1,,,,,1,,,,,,2,2,,,1,1,1,2,,1,2,,,1,1,1,2,,,,,,1,1,2,,,1,2,2,,,1,,2,1,1,1,,,,1,,,1,,,,1,,1,,,1,,,,1,,2,,1,1,,1,1,,,1,,1,,,,1,,,,2,2,,1,,1,1,,1,,,,2,,2,,1,,,1,2,,1,1,1,1,,1,,,,,,,,1,1,1,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,2,2,,,,,,2,,2,,,,2,,,,,,1,1,1,2,1,2,1,2,1,1,,2,,1,,2,2,,,2,1,1,,,,,1,,1,1,1,1,1,,,,,,2,,,1,1,,,1,1,2,1,1,,1,,1,,,1,,,1,1,1,,1,,,,,1,2,,1,,1,,,,,,,,,,1,1,2,,,1,1,,,,,1,,,,,1,2,,,2,,,,,1,,,,,,,,,,,1,,,,,,2,,,,2,,,,,,,,2,,1,,,1,1,,,,2,,,1,,,1,,,o,o,o,o,o,o,,o,,s,,s,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,,10003,106,152,46,10003,M,1,2,P,P,NA,14,55,17,154,27,46,43,39,28,27,85
10004,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-12,513,16,NA,1,1,1,,,1,,1,1,1,1,,1,1,,1,1,1,1,,,1,1,1,1,,1,1,1,,,s,n,,,,1,,,,,2,,,,,,,1,,,,1,,,,1,,1,,1,,,,1,1,,1,,,,,,,2,,,,,,,1,,1,1,,1,1,,1,2,1,1,1,2,,,,,2,,,,,1,,,,,,,2,1,,,,,1,,,,1,,,1,,,,,,,,,1,,1,1,,,1,,,1,,1,,,,1,,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,,,1,,,,,,1,,,,,,,,,1,,,,,,1,1,1,,1,,,1,2,1,1,,1,1,1,,,1,1,1,,,1,,,,1,,,1,,,,,,,1,1,,2,1,,,,1,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,2,1,,,,,,2,,2,,,1,,,1,2,2,1,1,1,,2,,,,,1,,1,,,,,1,,,,,,,,1,1,1,,,1,,1,,1,1,,1,,1,,,1,,1,,,1,1,,,,1,,1,,1,2,,,,,,,,,,,,,,,2,,,,,,1,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,o,o,,,o,,s,s,,,s,n,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,,1,0,0,0,,1,,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,,10004,106,124,18,10004,M,1,2,W,W,NA,16,66,16,126,28,19,34,42,60,18,30
10005,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-18,519,17,NA,1,1,1,,,,,1,,1,1,,1,1,,1,1,,1,1,,1,,,1,,1,,,,1,s,o,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,2,,1,1,1,,,,1,,,,,,1,,,2,,,,1,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,1,,,,,,2,,1,,,,1,,,,,1,,1,,,,,,2,,1,,1,1,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,2,,,,,,2,,,,,2,,,,,,1,1,,,,,,2,,1,,1,,2,,,,2,,1,1,,,1,,,,,,1,,,,,1,,,,,,,,1,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,s,,s,o,s,n,n,s,n,s,n,1,0,,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,10005,53,65,12,10005,M,1,1,W,W,NA,16,63,17,65,0,12,14,28,7,14,13
10006,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-06-27,506,16,NA,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,s,s,1,2,1,2,1,1,1,1,2,1,2,1,,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,,1,2,1,1,1,1,1,1,,,,,1,1,,,,1,2,1,,1,,,1,2,2,2,2,1,2,2,1,,1,2,2,,,,,,,,,,,,,1,,,,1,1,,2,,,,,,,,2,,2,,,,1,1,2,,,,1,,,2,,1,,,,2,1,1,1,,1,1,1,1,1,1,1,1,2,2,1,,1,1,1,,2,,1,1,,,1,,,,,,1,,1,,,1,,,,1,,,,,1,1,1,1,,,,,,,2,1,,,,2,1,,,1,,1,,2,,1,,,,1,1,1,1,,,1,,,1,2,1,,,1,,2,,,1,1,,1,,1,1,2,2,2,,,2,,,,,,2,,2,,,,2,2,,,1,,,1,,2,,,,2,,1,2,2,1,1,2,2,1,1,,2,1,,,,,2,1,1,1,1,1,1,1,1,1,,,1,1,1,1,2,,2,1,1,,1,1,2,,,,1,,1,,1,1,1,1,1,,1,1,2,,1,1,1,,1,1,,,,,,,,,,,1,,,2,,,1,,1,,,,,,,,1,1,1,,2,,1,1,,1,,1,1,,,1,,,1,,1,,,,,1,2,,1,,,,,,,,,,,,2,2,,,1,1,1,,1,,,1,,,,,,o,o,o,o,o,s,s,o,s,o,o,n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,10006,139,204,65,10006,F,2,3,W,W,NA,16,63,16,203,48,66,65,58,95,24,55
10007,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-12,538,17,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,s,n,2,,,,2,1,1,1,1,,1,,,1,1,1,1,1,,2,1,1,,2,,2,1,1,1,1,,1,2,,1,1,1,1,,1,,1,1,,1,1,1,1,1,,,1,,,1,1,,2,,1,1,1,,,1,2,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,1,,,1,1,1,,1,,,1,2,,1,1,,,1,1,1,1,,1,,1,1,1,,1,1,1,1,,1,,1,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,2,,2,1,,1,,,1,1,1,,1,,,1,,1,,,,,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,1,,1,,1,1,1,,,,1,,1,,,1,1,,,,,,,2,,,,,,,1,,,,1,2,,,,,,2,1,,,,,2,1,,,,,,2,1,1,1,1,,2,1,1,1,1,1,2,,,1,1,,1,1,1,,1,,1,1,,1,,1,,1,1,,,1,1,1,1,,1,,,1,1,1,,1,,1,1,1,,1,,1,1,1,,1,1,1,,,1,,1,1,1,,1,1,1,,1,1,,1,1,,,,1,1,,1,,,1,1,1,,,1,1,,,,1,,,,1,1,,,,,,,,,,1,1,1,1,1,1,,,,1,,1,,1,,1,,,,,1,,,,1,1,1,,1,1,2,1,1,1,,,,,,,,,,o,o,o,o,o,n,s,s,s,s,s,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,,10007,208,227,19,10007,M,1,1,W,W,NA,16,56,17,224,58,22,20,41,40,28,99
10008,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-05-11,539,17,NA,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,,s,s,,,,,,,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,1,1,,1,1,2,1,1,,1,,,,,,1,,1,1,1,,,1,,1,,1,1,,,,,,1,1,,,,,2,,1,,1,,,1,,1,1,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,1,1,1,,,1,1,,,1,,1,,1,,1,,1,,,1,,,,,,1,,,,1,1,1,,1,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,1,,,,,2,2,,,,,,2,,1,1,,,2,1,,,,,,1,,1,,,,,,1,1,2,1,1,1,,,1,,,1,1,,1,,,,,1,1,1,,1,,,,,1,1,,1,1,,,,1,1,,2,1,,,1,,,,,,,1,1,,,1,,,,1,,,,,1,,,,,,1,,,,,1,,2,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,2,,,,,,,,,,2,1,,,,2,,,1,,,,,,o,o,o,s,o,o,n,n,o,n,s,n,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,,10008,102,118,16,10008,M,1,2,H,NA,H,16,.,17,118,15,16,17,32,12,21,35
10009,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-04-08,503,16,NA,1,1,1,,,,1,1,,1,1,1,,,,,1,1,,,,1,,,,,,1,1,,,s,n,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,2,,1,1,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,2,,1,,,,2,,1,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,2,2,,,2,1,,,,,2,1,,2,,1,1,1,,1,2,2,,1,1,2,,,,,,,,1,,1,,,,,,,,,,,1,1,1,1,,1,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,o,o,s,o,s,o,s,n,o,n,s,n,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,,10009,53,69,16,10009,M,1,2,W,W,NA,16,56,16,78,13,19,34,31,17,10,10
10010,english_wg,totlot2,totlot2_15-17m_1.pdf,M,2005-06-01,572,18,NA,1,1,1,1,1,1,,,1,1,,1,,,,,1,1,1,1,,1,1,,1,,,1,1,,,s,n,1,2,,2,2,2,1,2,2,1,1,1,,2,2,2,2,1,2,2,1,1,,2,,1,2,2,,2,,1,,,1,1,,,,,,,,,2,1,,2,2,,,2,,,,2,2,2,2,1,2,2,,,1,2,2,,,,,,,,,2,,,1,,1,,2,2,2,,1,1,1,,,,,,2,,,,,,1,,2,2,,,1,1,,2,,1,,,,,2,1,2,,1,,,2,,1,,2,2,,2,2,,,2,2,,,,1,,,1,,,,2,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,1,2,,,,,,,,,,,,1,,,1,,,,,2,,,2,,1,,,,1,,1,,,,,,,,,2,2,,,,2,,,,,,2,,2,,,,2,1,,,,,,1,,2,,,2,2,,1,1,2,,2,,2,2,,,2,1,,,,,1,2,,1,,,,1,,,1,,,2,,,1,,1,1,1,1,,2,,,2,,1,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,1,1,2,,,1,,,,,1,,,,2,,,,,2,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,1,,1,,,2,,,2,,,,,,,o,s,,o,o,s,s,s,o,s,s,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,10010,65,140,75,10010,M,1,1,W,W,NA,18,.,18,141,13,76,47,43,28,15,12
10011,english_wg,totlot2,totlot2_15-17m_1.pdf,F,2005-04-21,509,16,NA,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,,1,1,1,1,1,s,o,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,,2,2,2,1,1,1,2,2,1,2,2,1,,1,1,,2,1,1,1,2,1,1,1,1,1,1,,,1,,,2,2,1,2,2,1,1,1,2,2,1,,,,1,,,2,,,2,1,2,1,,2,,2,,2,,1,,,1,,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,1,1,,1,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,,2,1,,1,1,1,,,1,1,1,1,,1,,2,2,,,1,,,2,1,2,1,1,1,2,1,1,1,,,,2,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,2,1,2,1,1,1,1,1,1,2,,1,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1,2,1,1,1,,1,1,1,1,1,,1,2,1,,,1,,,1,,,,2,1,1,1,,1,1,,1,1,,1,,1,1,,2,1,2,,2,2,2,1,1,1,,1,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,2,1,,1,1,,1,,,1,1,2,1,1,1,1,1,,o,s,,o,,s,n,,s,s,,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,,1,1,0,1,1,1,0,1,1,1,1,,10011,243,308,65,10011,F,1,1,W,W,NA,16,30,16,316,87,70,67,52,80,23,50
