study_id,form,study,binder_items,id_check,age_mos,sex,date filled,completedby,respname,respno,reactmd,arehngry,aretired,becarefl,bequiet,claphand,cgdiaper,comehere,mdhome,wantmore,dontdo,dontouch,getup,givemom,givehug,givekiss,goget,goodgb,holdstil,gobyebye,lookhere,openmth,sitdown,spitout,stopit,gonight,throwbll,litpiggy,wantride,imitate,label,baabaa,choochoo,cockddld,grr,meow,moo,ouch,quackqck,uhoh,vroom,woofwoof,yumyum,animal,bear,bee,bird,bug,bunny,buttrfly,cat,chicken1,cow,deer,dog,donkey,duck,elephant,fish1,frog,giraffe,goose,horse,kitty,lamb,lion,monkey,mouse,owl,penguin,pig,pony,puppy,sheep,squirrel,teddyber,tiger,turkey,turtle,airplane,bicycle,bus,car,firetrck,motrcycl,stroller,train,truck,ball,balloon,block,book,bubbles,doll,pen,toy,apple,banana,bread,butter,cake,candy,carrots,cereal,cheerios,cheese,chicken2,coffee,cookie,cracker,drink1,egg,fish2,food,icecream,juice,meat,milk,noodles,orange1,peas,pizza,raisin,spaghett,toast,water1,beads,bib,boots,button,coat,diaper,dress,hat,jacket,jeans,necklace,pajamas,pants,shirt,shoe,shorts,sock,sweater,zipper,arm,bllybttn,cheek,ear,eye,face,foot,finger,hair,hand,head,knee,leg,mouth,nose,owie,tooth,toe,tongue,tummy,blanket,bottle,bowl,box,broom,brush,clock,comb,cup,dish,fork,glass,glasses,hammer,keys,lamp,light,medicine,money,paper,penny,picture,pillow,plant,plate,purse,radio,scissors,soap,spoon,telephone,toothbrush,towel,trash,vacuum,watch1,bathroom,bathtub,bed,bedroom,chair,couch,crib,door,drawer,garage,highchar,kitchen,livingrm,oven,playpen,potty,refrigerator,rockingchair,sink,stairs,stove,table,tv,window,backyard,beach,church,flower,garden,home,house,moon,outside,park,party,pool,rain,rock,school,shovel,sky,slide1,snow,star,store,sun,swing1,tree,water2,work1,zoo,aunt,baby,babysttr,babysittername,boy,brother,child,daddy,girl,grandma,grandpa,lady,man,mommy,childname,people,person,sister,teacher,uncle,bath,breakfst,bye,dinner,dont,hello,hi,lunch,nap,nghtnght,no,patycak,peekaboo,please,shh,thankyou,wait,wanna,yes,bite,blow,break,bring,bump,clean1,close,cry,dance,draw,drink2,drive,eat,fall,feed,finish,get,give,go,help,hit,hug,hurry,jump,kick,kiss,look,love,open,play,pull,push,put,read,ride,run,say,see,show,sing,sleep,smile,splash,stop,swim,swing2,take,throw,tickle,touch,watch2,walk,wash,wipe,write,day,later,morning,night,now,today,tomorrow,tonight,allgone,asleep,bad,big,blue,broken,careful,clean2,cold,cute,dark,dirty,dry2,empty,fast,fine,gentle,good,happy,hard,hot,hungry,hurt,little,naughty,nice,old,pretty,red,scared,sick,sleepy,soft,thirsty,tired,wet,yucky,her,his,i,it,me,mine,my,that,this,you,your,how,what,when,where,who,why,away,back,down,in,inside,off,on,out,there,underprep,upprep,allquant,another,more,none,notquant,other,same,some,armshow,reachout,points,waves,pickup,shakhead,nodhead,showhush,request,blowkiss,smacklip,shrugs,playpeek,patycak2,sobig,chase,dosing,dodance,eatspoon,drinkcup,combhair,bshteeth,wipeface,puthat,putshoe,putwatch,ptdsleep,blowhot,flyplane,ptndtele,snifflow,pushcar,throwges,ptndpour,ptndstir,putobed,cover,feedbotl,feedspon,brushit,burbit,pushit,rockit,kissit,dressit,wipeit,talkit,diaperit,sweep,putkey,pound,usesaw,type,ptndread,dovacuum,waterplt,playmus,ptnddriv,washdish,usecloth,usepen,dig,wearglas,playpretend,id,comp_only_items,prod_items,comp_items,id,border,latino,ethnicity,white,momed,comp,compptiles,prod,prodptile
11003,english_wg,totlot3,totlot3_16m_1.pdf,11003,17,F,2012-11-06,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,s,n,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,2,2,,,2,,,1,1,1,2,1,1,2,2,1,1,,2,2,1,,,,1,1,,1,,,,1,1,,1,1,,,1,2,1,2,,1,1,,,2,,1,,,1,1,,2,1,,1,1,1,1,1,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,,1,,,1,,,,,1,1,,,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,,,,1,1,,1,1,,1,1,1,1,1,,1,,1,1,,1,1,,1,,1,1,,,1,,,1,1,1,1,2,,,,1,,,,,,2,,1,1,,,2,1,,,2,1,,1,1,2,1,2,2,2,1,2,2,2,,1,2,1,2,1,2,2,1,1,,1,,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,2,1,1,1,,,,1,,,,,2,,,1,,,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,1,,1,1,,1,1,1,,,,,2,,,,,,,1,1,,1,1,,,,1,1,1,1,1,1,1,1,2,1,1,1,,,,,1,o,o,o,o,o,o,n,n,s,o,o,s,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,11003,231,45,276,11003,2,0,A/W,Non-White,16,276,63,45,28
11009,english_wg,totlot3,totlot3_16m_1.pdf,11009,16,F,2012-10-07,Mother,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,s,2,1,,,2,2,2,1,2,1,1,1,1,2,2,2,1,2,,2,2,2,,2,,2,2,2,,,,1,2,,1,2,,1,,2,,1,,,1,,,1,1,,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,,2,2,1,2,,1,,2,,2,,,1,,,,,1,,,,,,1,,1,1,,,,,,2,,,,,,1,2,2,2,,,1,1,1,1,,,1,2,2,1,1,1,1,2,2,1,1,,1,,,,,,,1,,2,,,,,1,,,1,,,,,,,,2,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,,1,,2,,,,,,1,1,1,1,,1,1,,2,2,2,,2,,,,1,,,,,,1,,,,,1,,,,2,1,2,,2,,2,,,,,,2,1,,,2,1,,2,,2,,2,2,2,,1,2,2,1,2,2,2,2,1,1,2,1,,,,,,,1,2,,,,1,,,,,1,2,1,1,1,,,,2,1,2,1,1,,1,,1,,,,,1,1,1,1,1,1,,1,,,,,,1,1,,,,,,,,,,,2,,,,,,,,1,,,1,,1,,,1,,2,,1,,,,,,,,,,,,,,,1,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,o,o,o,o,o,o,o,o,o,o,o,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,11009,108,77,185,11009,2,0,W,White,18,186,41,77,70
11011,english_wg,totlot3,totlot3_16m_1.pdf,11011,15,M,,,1,0,1,1,,1,,1,1,1,1,1,,,,1,,,1,1,,1,1,,1,,,,1,,1,n,n,,1,,1,1,,,,1,,1,1,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,1,,1,1,,1,,,1,1,,,,,1,1,,,,1,1,,1,1,,,1,,,,1,,,,,1,,1,,1,1,,1,,1,,,,1,,1,,,,1,1,1,1,1,1,,,,,,,,1,1,,1,,1,,1,1,1,,,1,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,1,1,1,,1,,1,1,1,,,,,1,,,1,,1,1,,,,,,,1,1,1,1,1,,,,,,,,1,,,1,,1,,,,,1,,,,,,,1,,1,1,,,1,1,,,,,1,1,1,1,1,,,1,1,,,1,,1,,,,1,,1,1,,,,1,,1,,1,,,1,1,,,,1,1,1,,1,1,,1,1,,1,,1,,,1,1,1,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,1,1,,,1,,1,,1,,,1,,,,,,s,s,n,n,s,s,n,n,s,n,n,n,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,11011,130,0,130,11011,1,0,W,White,16,130,43,0,5
11014,english_wg,totlot3,totlot3_16m_1.pdf,11014,15,M,2012-10-07,Mother,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,s,s,2,2,,,1,2,,2,,1,2,1,,2,,,,2,,1,,1,,2,,2,,1,,,,1,1,,,1,,,,1,,1,,,2,,,1,1,,2,1,,,1,2,,2,,1,2,,,,1,2,2,,,2,,,2,2,2,,,2,,1,,,,,,,1,,,,,,,,1,,1,,,,2,,,,,,1,1,2,2,,2,,,,2,,2,2,,2,,2,,,,,,2,,2,1,1,1,1,,,,1,2,,,1,,,,,,2,1,1,,,,,,1,,,1,,,1,,1,2,1,1,1,,1,1,2,,2,,,1,,,,,,,,1,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,2,,2,2,,,2,,,,,,2,2,1,2,,,2,,,1,2,1,1,2,,2,,,,1,1,,,,,,1,1,,,1,,1,,,,,,,,1,1,,,,1,,,1,,,1,1,1,1,1,,,,,,1,,,1,,,1,,,,,,1,,,,,2,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,2,2,,1,,,,,1,,,,,,s,o,o,o,o,s,s,s,n,n,s,o,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,11014,75,55,130,11014,1,0,A/W,Non-White,16,130,43,52,85
11035,english_wg,totlot3,totlot3_16m_1.pdf,11035,15,M,2012-10-01,Mother and Father,1,1,1,,,,,1,1,1,1,1,,,,1,,,1,,,1,1,,1,,,,,,,s,o,,,,,,,,,1,1,,,,1,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,1,,1,1,,,1,,,,,,1,1,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,2,,1,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,1,,,,,,2,,,,,,1,1,,,,1,,,,1,,,1,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,o,o,o,n,s,o,n,n,n,n,s,n,1,,,1,,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,11035,58,3,61,11035,1,0,W,White,16,61,13,34,71
11036,english_wg,totlot3,totlot3_16m_1.pdf,11036,16,M,2012-10-29,,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,o,,1,,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,1,1,,1,,1,1,1,1,1,,1,,,,1,1,,,,,,,,1,,,,1,,1,1,1,1,,1,1,1,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,,,1,1,1,1,1,,,,1,,1,,,,1,1,1,,1,,,,1,,1,1,,,,,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,2,,,1,1,,2,2,2,,1,,1,,1,,1,1,,,,,,1,,1,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,1,1,,,1,,,,,1,1,,,,,,,1,,,,1,,1,,1,1,1,,1,,1,,,1,1,,1,,1,1,1,,,,,1,,,,,,1,,1,1,,,1,1,1,,,1,,1,,1,,,2,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,,,,1,1,1,1,1,1,,1,,,,1,,,,1,,1,1,1,,,,1,,,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,,,1,,,,,,,1,1,,1,,,,,1,,,1,,1,,,1,,1,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,o,o,o,o,o,o,n,n,o,n,o,n,1,0,0,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,11036,172,5,177,11036,1,0,A,Non-White,16,180,52,125,93
11037,english_wg,totlot3,totlot3_16m_1.pdf,11037,15,M,2012-09-25,Mother,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,s,s,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,,1,1,1,1,,,,1,1,1,1,1,,,2,1,1,1,1,,,,1,1,1,1,1,1,1,1,2,,1,,1,1,1,,1,1,,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,,1,,,,1,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,1,1,,1,,1,1,,,1,,,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1,1,,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,2,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,1,1,,,1,,,1,,,1,,1,1,1,,1,1,1,,,,,,,,,,1,1,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,,,,1,,,,,,,,,o,o,o,o,o,s,n,n,s,n,o,n,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,11037,228,16,244,11037,2,0,W,White,18,245,85,18,53
11070,english_wg,totlot3,totlot3_16m_1.pdf,11070,15,F,2012-10-13,Mother and Father and Grandparents,1,,1,,1,,,1,1,1,1,1,,,,1,1,,1,1,,1,,,,,,1,1,1,,n,n,,1,,1,,1,,1,,,1,1,,2,1,1,,1,1,1,,1,,1,,1,1,1,,1,,,1,,1,1,1,,,1,,1,1,,1,,,,,,1,1,,,1,1,,2,1,1,1,,,,,2,1,1,,,,1,,1,1,,,1,,1,1,,,,,,1,,,1,,,,1,1,,1,,,1,1,,1,1,,,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,1,,,1,,,,,,,1,,1,,,,1,,,,,,,,1,,1,1,,,,1,1,,,,1,,1,,,1,1,,,,1,1,,,1,,1,1,,1,,1,1,,1,,1,1,1,,,,1,1,1,1,,,,,1,1,1,,,,,,,1,1,,,1,1,1,1,,,1,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,,,1,,,1,,,,1,1,,1,,1,,1,,1,,,,1,1,,,,1,,,,1,,1,1,,,,1,1,,,1,,,,,,1,1,,,,,,,,1,,1,,,1,,,,,,,1,,,1,,,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,2,,,1,,,,,,s,o,o,s,o,o,s,n,,s,n,n,1,0,,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,,,1,,,,,1,,1,,,,,1,,1,,,1,,,1,,,,1,1,,1,11070,163,4,167,11070,1,0,W,White,18,165,47,4,13
11136,english_wg,totlot3,totlot3_16m_1.pdf,11136,17,M,2012-11-20,Mother,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,1,1,1,1,s,n,2,2,2,,1,2,1,1,1,2,1,1,1,,1,1,1,1,1,2,1,1,,1,,1,1,2,1,1,,1,2,,1,1,1,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,1,1,1,,,,1,1,1,,1,,1,,1,,1,,1,,,1,1,,1,,1,1,1,,1,1,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,,,,2,,1,,1,,,,,1,1,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,1,,,1,1,1,1,,1,1,,1,,1,1,1,,,,,1,1,1,,,,,,1,1,1,,,1,1,,,1,,,1,1,1,1,,,1,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,,1,,1,1,1,1,,1,,1,,1,1,,1,,,,1,,,,1,1,,1,1,,1,1,1,1,,1,,,1,1,1,1,,1,1,1,1,1,,,1,1,,,,,,1,,,,,1,,,1,,1,,,,,,1,,1,1,,1,1,,,1,1,,,,,,1,,,,1,1,1,1,,,,,,,,,,1,1,1,,,1,,1,,,,,1,1,1,1,1,1,1,,1,,1,1,,,,,,o,o,o,s,o,o,n,n,o,n,n,o,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,11136,229,9,238,11136,1,0,W,White,18,238,64,8,12
11141,english_wg,totlot3,totlot3_16m_1.pdf,11141,15,F,2012-10-20,Mother and Father,0,1,1,,1,,,1,,1,1,1,1,,,,1,1,,1,,1,1,,,,,1,1,1,,s,,2,,,,1,,2,1,,,,,,2,,,,1,,2,,1,,2,,2,,1,,1,,1,2,1,,1,,,1,1,,2,1,,,1,,,,1,,1,,,1,1,,2,1,,2,2,2,,,2,2,1,,,,1,,2,2,1,1,2,2,,1,,,,,,1,,,1,,,,,1,,,1,,,1,,,,,,1,,,2,,2,,,,,,,,,1,,,,,,,,,,,,,,,2,,1,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,2,1,,,,,,,,,1,,,,,2,1,,,,1,1,2,,,,2,,2,2,,,2,2,,,,,,1,,2,,,,2,,1,2,2,1,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,2,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,2,,,1,,,,,,o,o,o,s,o,o,n,n,s,n,s,n,,1,,,,,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,11141,62,38,100,11141,1,0,W,White,18,100,23,41,63
