field,column,group,type
,Response ID,,
sex,Child's gender,child,sex
mom_ed,Mother's highest educational qualification,child,mom_ed
,Father's highest educational qualification,,
,Overall language exposure - Italian,,
,Overall language exposure - English,,
,Overall language exposure - Other,,
,Overall language exposure - Other - Text,,
languages,exp_ita,admin,language
languages,exp_eng,admin,language
languages,exp_oth,admin,language
,Home language exposure - Italian,,
,Home language exposure - English,,
,Home language exposure - Other(s),,
,Home language exposure - Other(s) - Text,,
,Mother native - Selected Choice,,
,Mother native - Other(s) - Text,,
,Mother's proficiency - Italian,,
,Mother's proficiency - English,,
,Mother's proficiency - Other,,
,Mother's proficiency - Other - Text,,
,Mother's child language,,
,Father native - Selected Choice,,
,Father native - Other(s) - Text,,
,Father's proficiency - Italian,,
,Father's proficiency - English,,
,Father's proficiency - Other,,
,Father's proficiency - Other - Text,,
,Father's child language,,
,Birth order - Selected Choice,,
,Birth order - Other - Text,,
birth_order,birth_order,child,birth_order
,Nursery start age - Age in months,,
,Nursery language,,
,Immersion - months,,
item_1,Sounds - Ahia,item,word
item_2,Sounds - Bau Bau (cane),item,word
item_3,Sounds - Bee (pecora),item,word
item_4,Sounds - Brum Brum (auto),item,word
item_5,Sounds - Chicchirichì (gallo),item,word
item_6,Sounds - Ciuf ciuf (treno),item,word
item_7,Sounds - Gnam,item,word
item_8,Sounds - Miao (gatto),item,word
item_9,Sounds - Muh (mucca),item,word
item_10,Sounds - Oh oh,item,word
item_11,Sounds - Qua Qua (papera),item,word
item_12,Sounds - Roarr (ringhio),item,word
item_14,Animals - Agnello,item,word
item_15,Animals - Animale,item,word
item_16,Animals - Ape,item,word
item_13,Animals - Asino,item,word
item_17,Animals - Cane,item,word
item_18,Animals - Cavallo,item,word
item_19,Animals - Cervo,item,word
item_20,Animals - Coniglio,item,word
item_21,Animals - Cucciolo,item,word
item_22,Animals - Elefante,item,word
item_23,Animals - Farfalla,item,word
item_24,Animals - Gallina,item,word
item_25,Animals - Gattino / Micino,item,word
item_26,Animals - Gatto,item,word
item_27,Animals - Giraffa,item,word
item_28,Animals - Gufo,item,word
item_29,Animals - Leone,item,word
item_30,Animals - Maiale,item,word
item_31,Animals - Mucca,item,word
item_32,Animals - Oca,item,word
item_33,Animals - Orso,item,word
item_34,Animals - Papera,item,word
item_35,Animals - Pecora,item,word
item_36,Animals - Pesce / Pesciolino,item,word
item_37,Animals - Pinguino,item,word
item_38,Animals - Pony,item,word
item_39,Animals - Ragno,item,word
item_40,Animals - Rana,item,word
item_41,Animals - Scimmia,item,word
item_42,Animals - Scoiattolo,item,word
item_43,Animals - Tacchino,item,word
item_44,Animals - Tartaruga,item,word
item_45,Animals - Tigre,item,word
item_46,Animals - Topo,item,word
item_47,Animals - Uccellino,item,word
item_48,Vehicles - Aereo,item,word
item_49,Vehicles - Autobus,item,word
item_50,Vehicles - Automobile / Auto / Macchina,item,word
item_51,Vehicles - Autopompa,item,word
item_52,Vehicles - Barca,item,word
item_53,Vehicles - Bicicletta / Bici,item,word
item_54,Vehicles - Camion,item,word
item_55,Vehicles - Motocicletta / Moto,item,word
item_56,Vehicles - Passeggino,item,word
item_57,Vehicles - Treno,item,word
item_58,Toys - Bambola,item,word
item_59,Toys - Bollicina,item,word
item_60,Toys - Cubi,item,word
item_61,Toys - Giocattolo,item,word
item_62,Toys - Libro,item,word
item_63,Toys - Orsacchiotto,item,word
item_64,Toys - Palla,item,word
item_65,Toys - Palloncino,item,word
item_66,Toys - Penna,item,word
item_67,Food and Drink - Acqua,item,word
item_68,Food and Drink - Arancia,item,word
item_69,Food and Drink - Banana,item,word
item_70,Food and Drink - Bibita / Bevanda,item,word
item_71,Food and Drink - Biscotti,item,word
item_72,Food and Drink - Burro,item,word
item_73,Food and Drink - Caffé,item,word
item_74,Food and Drink - Carne,item,word
item_75,Food and Drink - Carota,item,word
item_76,Food and Drink - Cereali,item,word
item_77,Food and Drink - Dolci,item,word
item_78,Food and Drink - Formaggio,item,word
item_79,Food and Drink - Gelato,item,word
item_80,Food and Drink - Latte,item,word
item_81,Food and Drink - Marmellata,item,word
item_82,Food and Drink - Mela,item,word
item_83,Food and Drink - Pane,item,word
item_84,Food and Drink - Pappa / Cibo,item,word
item_85,Food and Drink - Pasta,item,word
item_86,Food and Drink - Patatine,item,word
item_87,Food and Drink - Pesce,item,word
item_88,Food and Drink - Piselli,item,word
item_89,Food and Drink - Pizza,item,word
item_90,Food and Drink - Pollo,item,word
item_91,Food and Drink - Succo,item,word
item_92,Food and Drink - Té,item,word
item_93,Food and Drink - Toast,item,word
item_94,Food and Drink - Torta,item,word
item_95,Food and Drink - Uovo,item,word
item_96,Body Parts - Bocca,item,word
item_97,Body Parts - Braccio,item,word
item_98,Body Parts - Capelli,item,word
item_99,Body Parts - Dente,item,word
item_100,Body Parts - Dito,item,word
item_101,Body Parts - Dito del piede,item,word
item_102,Body Parts - Faccia,item,word
item_103,Body Parts - Gamba,item,word
item_104,Body Parts - Ginocchio,item,word
item_105,Body Parts - Guancia,item,word
item_106,Body Parts - Lingua,item,word
item_107,Body Parts - Mano,item,word
item_108,Body Parts - Naso,item,word
item_109,Body Parts - Occhio,item,word
item_110,Body Parts - Ombelico,item,word
item_111,Body Parts - Orecchio,item,word
item_112,Body Parts - Pancia,item,word
item_113,Body Parts - Piede,item,word
item_114,Body Parts - Testa,item,word
item_115,Body Parts - Unghia,item,word
item_116,Clothes - Bavaglino,item,word
item_117,Clothes - Bottone,item,word
item_118,Clothes - Calze / Calzini,item,word
item_119,Clothes - Camicia,item,word
item_120,Clothes - Cappello,item,word
item_121,Clothes - Cappotto,item,word
item_122,Clothes - Cerniera,item,word
item_123,Clothes - Collana,item,word
item_124,Clothes - Giacca,item,word
item_125,Clothes - Jeans,item,word
item_126,Clothes - Maglione,item,word
item_127,Clothes - Occhiali,item,word
item_128,Clothes - Pannolino,item,word
item_129,Clothes - Pantaloncini,item,word
item_130,Clothes - Pantaloni,item,word
item_131,Clothes - Pigiama,item,word
item_132,Clothes - Scarpa,item,word
item_133,Clothes - Stivali,item,word
item_134,Clothes - Vestito,item,word
item_135,Furniture and Rooms - Bagno,item,word
item_136,Furniture and Rooms - Box,item,word
item_137,Furniture and Rooms - Camera,item,word
item_138,Furniture and Rooms - Cassetto,item,word
item_139,Furniture and Rooms - Cucina,item,word
item_140,Furniture and Rooms - Cucina / Fornelli / Forno,item,word
item_141,Furniture and Rooms - Culla,item,word
item_142,Furniture and Rooms - Divano,item,word
item_143,Furniture and Rooms - Finestra,item,word
item_144,Furniture and Rooms - Frigorifero / Frigo,item,word
item_145,Furniture and Rooms - Garage,item,word
item_146,Furniture and Rooms - Lavandino,item,word
item_147,Furniture and Rooms - Letto,item,word
item_148,Furniture and Rooms - Porta,item,word
item_149,Furniture and Rooms - Salotto,item,word
item_150,Furniture and Rooms - Scale,item,word
item_151,Furniture and Rooms - Sedia,item,word
item_152,Furniture and Rooms - Sedia a dondolo,item,word
item_153,Furniture and Rooms - Seggiolone,item,word
item_154,Furniture and Rooms - Tavolo,item,word
item_155,Furniture and Rooms - Televisione / TV,item,word
item_156,Furniture and Rooms - Vasca da bagno,item,word
item_157,Furniture and Rooms - Vasino,item,word
item_158,Outside - Acqua,item,word
item_159,Outside - Albero,item,word
item_160,Outside - All'aperto / Fuori,item,word
item_161,Outside - Altalena,item,word
item_162,Outside - Casa,item,word
