type,value,data_value
sex,M,1
sex,F,2
mom_ed,,1
mom_ed,none,2
mom_ed,primary,3
mom_ed,secondary,4
mom_ed,some college,5
mom_ed,college,6
mom_ed,college,7
mom_ed,graduate,8
mom_ed,graduate,9
word,produces,1
word,,0
how_use_words,not yet,0
how_use_words,sometimes,1
how_use_words,often,2
word_forms_nouns,yes,1
word_forms_nouns,no,0
word_forms_verbs,yes,1
word_forms_verbs,no,0
word_forms_adjectives,yes,1
word_forms_adjectives,no,0
combine,not yet,0
combine,sometimes,1
combine,often,2
complexity,complex,2
complexity,simple,1
complexity,,0
