field,column,group,type
,Response ID,,
sex,Child's gender,child,sex
mom_ed,Mother's highest educational qualification,child,mom_ed
,Father's highest educational qualification,,
,Overall language exposure - Polish,,
,Overall language exposure - English,,
,Overall language exposure - Other,,
,Overall language exposure - Other - Text,,
languages,exp_pol,admin,language
languages,exp_eng,admin,language
languages,exp_oth,admin,language
,Home language exposure - Polish,,
,Home language exposure - English,,
,Home language exposure - Other(s),,
,Home language exposure - Other(s) - Text,,
,Mother native - Selected Choice,,
,Mother native - Other(s) - Text,,
,Mother's proficiency - Polish,,
,Mother's proficiency - English,,
,Mother's proficiency - Other,,
,Mother's proficiency - Other - Text,,
,Mother's child language,,
,Father native - Selected Choice,,
,Father native - Other(s) - Text,,
,Father's proficiency - Polish,,
,Father's proficiency - English,,
,Father's proficiency - Other,,
,Father's proficiency - Other - Text,,
,Father's child language,,
,Birth order - Selected Choice,,
,Birth order - Other - Text,,
birth_order,birth_order,child,birth_order
,Nursery start age - Age in months,,
,Nursery language,,
,Immersion - months,,
item_1,Sounds - auć / aua / au,item,word
item_2,Sounds - brrum brrum,item,word
item_3,Sounds - grrr,item,word
item_4,Sounds - hau hau,item,word
item_5,Sounds - kukuryku,item,word
item_6,Sounds - kwa kwa,item,word
item_7,Sounds - meeee,item,word
item_8,Sounds - miau,item,word
item_9,Sounds - mniam / niam niam,item,word
item_10,Sounds - muu,item,word
item_11,Sounds - o - oł,item,word
item_12,Sounds - tu-tuuu,item,word
item_14,Animals - gęś,item,word
item_15,Animals - indyk,item,word
item_16,Animals - jeleń,item,word
item_13,Animals - kaczka,item,word
item_17,Animals - koń,item,word
item_18,Animals - kot,item,word
item_19,Animals - kotek,item,word
item_20,Animals - królik,item,word
item_21,Animals - krowa,item,word
item_22,Animals - kucyk,item,word
item_23,Animals - kurczak,item,word
item_24,Animals - lew,item,word
item_25,Animals - małpa,item,word
item_26,Animals - miś / niedźwiedź,item,word
item_27,Animals - motyl,item,word
item_28,Animals - myszka,item,word
item_29,Animals - osioł,item,word
item_30,Animals - owca,item,word
item_31,Animals - owieczka,item,word
item_32,Animals - pająk,item,word
item_33,Animals - pies,item,word
item_34,Animals - pingwin,item,word
item_35,Animals - pszczoła,item,word
item_36,Animals - ptaszek,item,word
item_37,Animals - ryba,item,word
item_38,Animals - słoń,item,word
item_39,Animals - sowa,item,word
item_40,Animals - świnka,item,word
item_41,Animals - szczeniak / piesek,item,word
item_42,Animals - tygrys,item,word
item_43,Animals - wiewiórka,item,word
item_44,Animals - żaba,item,word
item_45,Animals - żółw,item,word
item_46,Animals - zwierzę,item,word
item_47,Animals - żyrafa,item,word
item_48,Vehicles - auto / samochód,item,word
item_49,Vehicles - autobus,item,word
item_50,Vehicles - ciężarówka,item,word
item_51,Vehicles - łódź / łódka,item,word
item_52,Vehicles - motor / motocykl,item,word
item_53,Vehicles - pociąg,item,word
item_54,Vehicles - rower,item,word
item_55,Vehicles - samolot,item,word
item_56,Vehicles - wóz strażacki,item,word
item_57,Vehicles - wózek,item,word
item_58,Toys - balon(ik),item,word
item_59,Toys - bańka mydlana,item,word
item_60,Toys - klocek,item,word
item_61,Toys - książka,item,word
item_62,Toys - lalka,item,word
item_63,Toys - miś,item,word
item_64,Toys - piłka,item,word
item_65,Toys - pisak / długopis,item,word
item_66,Toys - zabawka,item,word
item_67,Food and Drink - banan,item,word
item_68,Food and Drink - chleb,item,word
item_69,Food and Drink - ciasto,item,word
item_70,Food and Drink - cukierki,item,word
item_71,Food and Drink - dżem,item,word
item_72,Food and Drink - frytki,item,word
item_73,Food and Drink - groszek,item,word
item_74,Food and Drink - herbata,item,word
item_75,Food and Drink - herbatnik,item,word
item_76,Food and Drink - jabłko,item,word
item_77,Food and Drink - jajko,item,word
item_78,Food and Drink - jedzenie / papu / am,item,word
item_79,Food and Drink - kawa,item,word
item_80,Food and Drink - kurczak,item,word
item_81,Food and Drink - lody,item,word
item_82,Food and Drink - makaron / kluski,item,word
item_83,Food and Drink - marchewka,item,word
item_84,Food and Drink - masło / margaryna,item,word
item_85,Food and Drink - mięso,item,word
item_86,Food and Drink - mleko,item,word
item_87,Food and Drink - picie / napój,item,word
item_88,Food and Drink - pizza,item,word
item_89,Food and Drink - płatki,item,word
item_90,Food and Drink - pomarańcza,item,word
item_91,Food and Drink - ryba,item,word
item_92,Food and Drink - ser,item,word
item_93,Food and Drink - sok,item,word
item_94,Food and Drink - to(a)st,item,word
item_95,Food and Drink - woda,item,word
item_96,Body Parts - brzuch,item,word
item_97,Body Parts - dłoń,item,word
item_98,Body Parts - głowa,item,word
item_99,Body Parts - język,item,word
item_100,Body Parts - kolano,item,word
item_101,Body Parts - noga,item,word
item_102,Body Parts - nos,item,word
item_103,Body Parts - oko,item,word
item_104,Body Parts - palec,item,word
item_105,Body Parts - palec u nogi,item,word
item_106,Body Parts - paznokcie / pazurki,item,word
item_107,Body Parts - pępek,item,word
item_108,Body Parts - policzek,item,word
item_109,Body Parts - ręka,item,word
item_110,Body Parts - stopa,item,word
item_111,Body Parts - twarz,item,word
item_112,Body Parts - ucho,item,word
item_113,Body Parts - usta,item,word
item_114,Body Parts - włosy,item,word
item_115,Body Parts - ząb,item,word
item_116,Clothes - buty,item,word
item_117,Clothes - dżinsy,item,word
item_118,Clothes - guzik,item,word
item_119,Clothes - kapelusz,item,word
item_120,Clothes - koszula,item,word
item_121,Clothes - kozaki,item,word
item_122,Clothes - kurtka,item,word
item_123,Clothes - naszyjnik / wisiorek,item,word
item_124,Clothes - okulary,item,word
item_125,Clothes - pieluszka / pampers / pielucha,item,word
item_126,Clothes - piżama,item,word
item_127,Clothes - płaszcz,item,word
item_128,Clothes - skarpetki,item,word
item_129,Clothes - śliniaczek,item,word
item_130,Clothes - spodnie,item,word
item_131,Clothes - sukienka,item,word
item_132,Clothes - sweter,item,word
item_133,Clothes - szorty,item,word
item_134,Clothes - zamek błyskawiczny,item,word
item_135,Furniture and Rooms - bujany fotel / fotel na biegunach / bujak,item,word
item_136,Furniture and Rooms - drzwi,item,word
item_137,Furniture and Rooms - fotel,item,word
item_138,Furniture and Rooms - garaż,item,word
item_139,Furniture and Rooms - kojec (dla dziecka),item,word
item_140,Furniture and Rooms - krzesło,item,word
item_141,Furniture and Rooms - kuchenka / piekarnik,item,word
item_142,Furniture and Rooms - kuchnia,item,word
item_143,Furniture and Rooms - łazienka,item,word
item_144,Furniture and Rooms - lodówka,item,word
item_145,Furniture and Rooms - łóżeczko,item,word
item_146,Furniture and Rooms - łóżko,item,word
item_147,Furniture and Rooms - nocnik,item,word
item_148,Furniture and Rooms - okno,item,word
item_149,Furniture and Rooms - salon / duży pokój,item,word
item_150,Furniture and Rooms - schody,item,word
item_151,Furniture and Rooms - stół,item,word
item_152,Furniture and Rooms - sypialnia,item,word
item_153,Furniture and Rooms - szuflada,item,word
item_154,Furniture and Rooms - telewizor,item,word
item_155,Furniture and Rooms - umywalka,item,word
item_156,Furniture and Rooms - wanna,item,word
item_157,Furniture and Rooms - wysokie krzesło,item,word
item_158,Outside - basen,item,word
item_159,Outside - deszcz,item,word
item_160,Outside - dom,item,word
item_161,Outside - drzewo,item,word
item_162,Outside - gwiazda,item,word
item_163,Outside - huśtawka,item,word
item_164,Outside - kamień,item,word
item_165,Outside - kościół,item,word
item_166,Outside - księżyc,item,word
item_167,Outside - kwiatek,item,word
item_168,Outside - łopat(k)a,item,word
