field,column,group,type,
item_173,SHIRT,item,word,shirt
item_174,SHOE,item,word,shoe
item_175,SHORTS,item,word,shorts
item_176,SLIPPER,item,word,slipper
item_177,SNEAKER,item,word,sneaker
item_178,SNOWSUIT,item,word,snowsuit
item_179,SOCK,item,word,sock
item_180,SWEATER,item,word,sweater
item_181,TIGHTS,item,word,tights
item_182,UNDRPNTS,item,word,underpants
item_183,ZIPPER,item,word,zipper
item_184,ANKLE,item,word,ankle
item_185,ARM,item,word,arm
item_186,BLLYBTTN,item,word,belly_button
item_187,BUTTOCKS,item,word,buttocks
item_188,CHEEK,item,word,cheek
item_189,CHIN,item,word,chin
item_190,EAR,item,word,ear
item_191,EYE,item,word,eye
item_192,FACE,item,word,face
item_193,FINGER,item,word,finger
item_194,FOOT,item,word,foot
item_195,HAIR,item,word,hair
item_196,HAND,item,word,hand
item_197,HEAD,item,word,head
item_198,KNEE,item,word,knee
item_199,LEG,item,word,leg
item_200,LIPS,item,word,lips
item_201,MOUTH,item,word,mouth
item_202,NOSE,item,word,nose
item_203,OWIE,item,word,owie
item_204,PENIS,item,word,penis
item_205,SHOULDER,item,word,shoulder
item_206,TOE,item,word,toe
item_207,TONGUE,item,word,tongue
item_208,TOOTH,item,word,tooth
item_209,TUMMY,item,word,tummy
item_210,VAGINA,item,word,vagina
item_211,BASKET,item,word,basket
item_212,BLANKET,item,word,blanket
item_213,BOTTLE,item,word,bottle
item_214,BOWL,item,word,bowl
item_215,BOX,item,word,box
item_216,BROOM,item,word,broom
item_217,BRUSH,item,word,brush
item_218,BUCKET,item,word,bucket
item_219,CAMERA,item,word,camera
item_220,CAN1,item,word,can.object
item_221,CLOCK,item,word,clock
item_222,COMB,item,word,comb
item_223,CUP,item,word,cup
item_224,DISH,item,word,dish
item_225,FORK,item,word,fork
item_226,GARBAGE,item,word,garbage
item_227,GLASS,item,word,glass
item_228,GLASSES,item,word,glasses
item_229,HAMMER,item,word,hammer
item_230,JAR,item,word,jar
item_231,KEYS,item,word,keys
item_232,KNIFE,item,word,knife
item_233,LAMP,item,word,lamp
item_234,LIGHT,item,word,light
item_235,MEDICINE,item,word,medicine
item_236,MONEY,item,word,money
item_237,MOP,item,word,mop
item_238,NAIL,item,word,nail
item_239,NAPKIN,item,word,napkin
item_240,PAPER,item,word,paper
item_241,PENNY,item,word,penny
item_242,PICTURE,item,word,picture
item_243,PILLOW,item,word,pillow
item_244,PLANT,item,word,plant
item_245,PLATE,item,word,plate
item_246,PURSE,item,word,purse
item_247,RADIO,item,word,radio
item_248,SCISSORS,item,word,scissors
item_249,SOAP,item,word,soap
item_250,SPOON,item,word,spoon
item_251,TAPE,item,word,tape
item_252,TELEPHON,item,word,telephone
item_253,TISSUE,item,word,tissue
item_254,TOTHBRSH,item,word,toothbrush
item_255,TOWEL,item,word,towel
item_256,TRASH,item,word,trash
item_257,TRAY,item,word,tray
item_258,VACUUM,item,word,vacuum
item_259,WALKER,item,word,walker
item_260,WATCH1,item,word,watch.object
item_261,BASEMENT,item,word,basement
item_262,BATHROOM,item,word,bathroom
item_263,BATHTUB,item,word,bathtub
item_264,BED,item,word,bed
item_265,BEDROOM,item,word,bedroom
item_266,BENCH,item,word,bench
item_267,CHAIR,item,word,chair
item_268,CLOSET,item,word,closet
item_269,COUCH,item,word,couch
item_270,CRIB,item,word,crib
item_271,DOOR,item,word,door
item_272,DRAWER,item,word,drawer
item_273,DRYER,item,word,dryer
item_274,GARAGE,item,word,garage
item_275,HIGHCHAR,item,word,high_chair
item_276,KITCHEN,item,word,kitchen
item_277,LIVINGRM,item,word,living_room
item_278,OVEN,item,word,oven
item_279,PLAYPEN,item,word,play_pen
item_280,PORCH,item,word,porch
item_281,POTTY,item,word,potty
item_282,RCKNGCHR,item,word,rocking_chair
item_283,REFRGRTR,item,word,refrigerator
item_284,ROOM,item,word,room
item_285,SHOWER,item,word,shower
item_286,SINK,item,word,sink
item_287,SOFA,item,word,sofa
item_288,STAIRS,item,word,stairs
item_289,STOVE,item,word,stove
item_290,TABLE,item,word,table
item_291,TV,item,word,tv
item_292,WINDOW,item,word,window
item_293,WSHNGMCH,item,word,washing_machine
item_294,BACKYARD,item,word,backyard
item_295,CLOUD,item,word,cloud
item_296,FLAG,item,word,flag
item_297,FLOWER,item,word,flower
item_298,GARDEN,item,word,garden
item_299,GRASS,item,word,grass
item_300,HOSE,item,word,hose
item_301,LADDER,item,word,ladder
item_302,LAWNMOWR,item,word,lawn_mower
item_303,MOON,item,word,moon
item_304,POOL,item,word,pool
item_305,RAIN,item,word,rain
item_306,ROCK,item,word,rock
item_307,ROOF,item,word,roof
item_308,SANDBOX,item,word,sandbox
item_309,SHOVEL,item,word,shovel
item_310,SIDEWALK,item,word,sidewalk
item_311,SKY,item,word,sky
item_312,SLIDE1,item,word,slide.object
item_313,SNOW,item,word,snow
item_314,SNOWMAN,item,word,snowman
item_315,SPRINKLR,item,word,sprinkler
item_316,STAR,item,word,star
item_317,STICK,item,word,stick
item_318,STONE,item,word,stone
item_319,STREET,item,word,street
item_320,SUN,item,word,sun
item_321,SWING1,item,word,swing.object
item_322,TREE,item,word,tree
item_323,WATER2,item,word,water.not_beverage
item_324,WIND,item,word,wind
item_325,BEACH,item,word,beach
item_326,CAMPING,item,word,camping
item_327,CHURCH,item,word,church
item_328,CIRCUS,item,word,circus
item_329,COUNTRY,item,word,country
item_330,DOWNTOWN,item,word,downtown
item_331,FARM,item,word,farm
item_332,GASSTATN,item,word,gas_station
item_333,HOME,item,word,home
item_334,HOUSE,item,word,house
item_335,MOVIE,item,word,movie
item_336,OUTSIDE,item,word,outside
item_337,PARK,item,word,park
item_338,PARTY,item,word,party
item_339,PICNIC,item,word,picnic
item_340,PLAYGRND,item,word,playground
item_341,SCHOOL,item,word,school
item_342,STORE,item,word,store
item_343,WOODS,item,word,woods
item_344,WORK1,item,word,work.place
item_345,YARD,item,word,yard
item_346,ZOO,item,word,zoo
item_347,AUNT,item,word,aunt
item_348,BABY,item,word,baby
item_349,BABYSTTR,item,word,babysitter
item_350,NAMESTTR,item,word,babysitter_name
item_351,BOY,item,word,boy
item_352,BROTHER,item,word,brother
item_353,CHILD,item,word,child
item_354,CLOWN,item,word,clown
item_355,COWBOY,item,word,cowboy
item_356,DADDY,item,word,daddy
item_357,DOCTOR,item,word,doctor
item_358,FIREMAN,item,word,fireman
item_359,FRIEND,item,word,friend
item_360,GIRL,item,word,girl
item_361,GRANDMA,item,word,grandma
item_362,GRANDPA,item,word,grandpa
item_363,LADY,item,word,lady
item_364,MAILMAN,item,word,mailman
item_365,MAN,item,word,man
item_366,MOMMY,item,word,mommy
item_367,NURSE,item,word,nurse
item_368,NAMESELF,item,word,child_own_name
item_369,PEOPLE,item,word,people
item_370,PERSON,item,word,person
item_371,NAMEPET,item,word,pet_name
item_372,POLICE,item,word,police
item_373,SISTER,item,word,sister
item_374,TEACHER,item,word,teacher
