itemID,definition,category,item,type,choices,gloss,uni_lemma
item_1,abbaba (abbabeiggi),NA,ii_1_1,baby_words,,granduncle (grandfather's brother),
item_2,abbadidd (abbasystir),NA,ii_1_2,baby_words,,grandaunt (grandfather's sister),
item_3,adda (út at ganga),NA,ii_1_3,baby_words,,out for a walk,
item_4,ba (beiggi),NA,ii_1_4,baby_words,,brother/boy,
item_5,babu (bilur),NA,ii_1_5,baby_words,,siren,
item_6,bangari (at skjóta við),NA,ii_1_6,baby_words,,gun,
item_7,bibbar (fuglar),NA,ii_1_7,baby_words,,birds,
item_8,bibbur (tær),NA,ii_1_8,baby_words,,toes,
item_9,dada (bei),NA,ii_1_9,baby_words,,bye,
item_10,didda,NA,ii_1_10,baby_words,,sister/girl,
item_11,gagga (dunna),NA,ii_1_11,baby_words,,duck,
item_12,geggar (skógvar),NA,ii_1_12,baby_words,,shoes,
item_13,hestamua,NA,ii_1_13,baby_words,,horse,
item_14,kállabussi,NA,ii_1_14,baby_words,,calf,
item_15,maua (ketta),NA,ii_1_15,baby_words,,cat,
item_16,lulla,NA,ii_1_16,baby_words,,sleep,
item_17,mamba (mammubeiggi),NA,ii_1_17,baby_words,,maternal uncle,
item_18,mua,NA,ii_1_18,baby_words,,cow,
item_19,mæ,NA,ii_1_19,baby_words,,sheep,
item_20,nalli (nalvi),NA,ii_1_20,baby_words,,navel,
item_21,namma (eta),NA,ii_1_21,baby_words,,eat,
item_22,nina,NA,ii_1_22,baby_words,,sit,
item_23,omba (ommubeiggi),NA,ii_1_23,baby_words,,granduncle (grandmother's brother),
item_24,ommudidd (ommusysti),NA,ii_1_24,baby_words,,grandaunt (grandmother's sister),
item_25,putta,NA,ii_1_25,baby_words,,tuck (to sleep),
item_26,ubbisey/ubba (upp),NA,ii_1_26,baby_words,,up,
item_27,voffur,NA,ii_1_27,baby_words,,dog,
item_28,avv!,sounds,ii_2_1,word,produces,ouch,ouch
item_29,áh áh,sounds,ii_2_2,word,produces,oh oh,uh oh
item_30,brmm (bil-ljóð),sounds,ii_2_3,word,produces,vroom vroom (car sound),vroom
item_31,tuff tuff (tok-ljóð),sounds,ii_2_4,word,produces,choo choo (train sound),choo choo
item_32,gvagg gvagg,sounds,ii_2_5,word,produces,quack quack,quack quack
item_33,grr,sounds,ii_2_6,word,produces,grr,grrr
item_34,kykkeliky,sounds,ii_2_7,word,produces,cockledoodledoo,cockadoodledoo
item_35,mm mm,sounds,ii_2_8,word,produces,yum,yum yum
item_36,mjav,sounds,ii_2_9,word,produces,meow,meow
item_37,muh,sounds,ii_2_10,word,produces,moo,moo
item_38,mæ mæ,sounds,ii_2_11,word,produces,baa baa,baa baa
item_39,voff voff,sounds,ii_2_12,word,produces,woof woof,woof woof
item_40,apa,animals,ii_3_1,word,produces,monkey,monkey
item_41,bamsa,animals,ii_3_2,word,produces,teddy bear,teddybear
item_42,bjørn,animals,ii_3_3,word,produces,bear,bear
item_43,djór,animals,ii_3_4,word,produces,animal,animal
item_44,dunna,animals,ii_3_5,word,produces,duck,drum
item_45,fiskur,animals,ii_3_6,word,produces,fish (animal),fish (animal)
item_46,fílur,animals,ii_3_7,word,produces,elephant,elephant
item_47,fluga,animals,ii_3_8,word,produces,fly (animal),fly (animal)
item_48,froskur,animals,ii_3_9,word,produces,frog,frog
