itemID,definition,category,item,type,choices,gloss,uni_lemma
item_1,au / ai,sounds,au / ai,word,understands; produces,ouch,ouch
item_2,beh beh (schaap),sounds,beh beh (schaap),word,understands; produces,baa baa (sheep),baa baa
item_3,boeh (koe),sounds,boeh (koe),word,understands; produces,moo (cow),moo
item_4,grrr (grommen),sounds,grrr (grommen),word,understands; produces,grr (growl),grrr
item_5,kukelukuu (haan),sounds,kukelukuu (haan),word,understands; produces,cockadoodledoo (rooster),cockadoodledoo
item_6,kwak kwak (eend),sounds,kwak kwak (eend),word,understands; produces,quack (duck),quack quack
item_7,miauw / mauw (kat),sounds,miauw / mauw (kat),word,understands; produces,meow (cat),meow
item_8,mjam mjam,sounds,mjam mjam,word,understands; produces,yum,yum yum
item_9,oh ooh,sounds,oh ooh,word,understands; produces,uh oh,uh oh
item_10,tjoek tjoek (trein),sounds,tjoek tjoek (trein),word,understands; produces,choo choo (train),choo choo
item_11,vroem / broem (auto),sounds,vroem / broem (auto),word,understands; produces,vroom (car),vroom
item_12,waf waf (hond),sounds,waf waf (hond),word,understands; produces,woof (dog),woof woof
item_13,aap,animals,aap,word,understands; produces,monkey,monkey
item_14,beer,animals,beer,word,understands; produces,bear,bear
item_15,bij,animals,bij,word,understands; produces,bee,bee
item_16,dier,animals,dier,word,understands; produces,animal,animal
item_17,eekhoorn,animals,eekhoorn,word,understands; produces,squirrel,squirrel
item_18,eend,animals,eend,word,understands; produces,duck,duck
item_19,ezel,animals,ezel,word,understands; produces,donkey,donkey
item_20,gans,animals,gans,word,understands; produces,goose,goose
item_21,giraf,animals,giraf,word,understands; produces,giraffe,giraffe
item_22,hert,animals,hert,word,understands; produces,deer,deer
item_23,hond,animals,hond,word,understands; produces,dog,dog
item_24,kalkoen,animals,kalkoen,word,understands; produces,turkey,turkey
item_25,kat,animals,kat,word,understands; produces,cat,cat
item_26,kikker,animals,kikker,word,understands; produces,frog,frog
item_27,koe,animals,koe,word,understands; produces,cow,cow
item_28,konijn,animals,konijn,word,understands; produces,bunny / rabbit,bunny
item_29,kuiken,animals,kuiken,word,understands; produces,chicken (animal),chicken (animal)
item_30,lam(metje),animals,lam(metje),word,understands; produces,lamb,lamb
item_31,leeuw,animals,leeuw,word,understands; produces,lion,lion
item_32,muis,animals,muis,word,understands; produces,mouse,mouse
item_33,olifant,animals,olifant,word,understands; produces,elephant,elephant
item_34,paard,animals,paard,word,understands; produces,horse,horse
item_35,pinguin,animals,pinguin,word,understands; produces,penguin,penguin
item_36,poesje,animals,poesje,word,understands; produces,kitten,kitten
item_37,pony,animals,pony,word,understands; produces,pony,pony
item_38,puppy,animals,puppy,word,understands; produces,puppy,puppy
item_39,schaap,animals,schaap,word,understands; produces,sheep,sheep
item_40,schildpad,animals,schildpad,word,understands; produces,turtle,turtle
item_41,spin,animals,spin,word,understands; produces,spider,spider
item_42,tijger,animals,tijger,word,understands; produces,tiger,tiger
item_43,uil,animals,uil,word,understands; produces,owl,owl
item_44,varken,animals,varken,word,understands; produces,pig,pig
item_45,vis,animals,vis,word,understands; produces,fish (animal),fish (animal)
item_46,vlinder,animals,vlinder,word,understands; produces,butterfly,butterfly
item_47,vogel,animals,vogel,word,understands; produces,bird,bird
item_48,auto,vehicles,auto,word,understands; produces,car,car
item_49,boot,vehicles,boot,word,understands; produces,boat,boat
item_50,brandweerwagen / brandweerauto,vehicles,brandweerwagen / brandweerauto,word,understands; produces,fire engine,firetruck
item_51,buggy,vehicles,buggy,word,understands; produces,pushchair / buggy,stroller
item_52,bus,vehicles,bus,word,understands; produces,bus,bus
item_53,fiets,vehicles,fiets,word,understands; produces,bicycle / bike,bicycle
item_54,moto(r) / motorfiets,vehicles,moto(r) / motorfiets,word,understands; produces,motor-bike,motorcycle
item_55,trein,vehicles,trein,word,understands; produces,train,train
item_56,vliegtuig,vehicles,vliegtuig,word,understands; produces,aeroplane / plane,airplane
item_57,vrachtwagen / camion / vrachtauto,vehicles,vrachtwagen / camion / vrachtauto,word,understands; produces,lorry / truck,truck
item_58,bal,toys,bal,word,understands; produces,ball,ball
item_59,ballon,toys,ballon,word,understands; produces,balloon,balloon
item_60,blok,toys,blok,word,understands; produces,block / brick,blocks
item_61,boek,toys,boek,word,understands; produces,book,book
item_62,bubbel,toys,bubbel,word,understands; produces,bubble,bubbles
item_63,pen,toys,pen,word,understands; produces,pen,pen
item_64,pop,toys,pop,word,understands; produces,doll,doll
item_65,speelgoed,toys,speelgoed,word,understands; produces,toy,toy (object)
item_66,teddybeer,toys,teddybeer,word,understands; produces,teddy bear,teddybear
item_67,appel,food_drink,appel,word,understands; produces,apple,apple
item_68,appelsien / sinaasappel,food_drink,appelsien / sinaasappel,word,understands; produces,orange,orange (food)
item_69,banaan,food_drink,banaan,word,understands; produces,banana,banana
item_70,beschuit,food_drink,beschuit,word,understands; produces,biscuit,biscuit
item_71,boter,food_drink,boter,word,understands; produces,butter,butter
item_72,brood,food_drink,brood,word,understands; produces,bread,bread
item_73,cake,food_drink,cake,word,understands; produces,cake,cake
item_74,drankje,food_drink,drankje,word,understands; produces,drink (beverage),drink (beverage)
item_75,ei(tje),food_drink,ei(tje),word,understands; produces,egg,egg
item_76,erwtjes,food_drink,erwtjes,word,understands; produces,peas,peas
item_77,eten,food_drink,eten,word,understands; produces,food,food
item_78,frietjes,food_drink,frietjes,word,understands; produces,chips,chips
item_79,geroosterd brood / toast,food_drink,geroosterd brood / toast,word,understands; produces,toast,toast
item_80,granen / graansoort,food_drink,granen / graansoort,word,understands; produces,cereal,cereal
item_81,ijs(je) / crème,food_drink,ijs(je) / crème,word,understands; produces,ice cream,ice cream
item_82,jam,food_drink,jam,word,understands; produces,jam,jam
item_83,kaas,food_drink,kaas,word,understands; produces,cheese,cheese
item_84,kip,food_drink,kip,word,understands; produces,chicken (food),chicken (food)
item_85,koffie,food_drink,koffie,word,understands; produces,coffee,coffee
item_86,melk,food_drink,melk,word,understands; produces,milk,milk
item_87,pasta / spaghetti,food_drink,pasta / spaghetti,word,understands; produces,pasta / spaghetti,pasta
item_88,pizza,food_drink,pizza,word,understands; produces,pizza,pizza
item_89,sap,food_drink,sap,word,understands; produces,juice,juice
item_90,snoepje,food_drink,snoepje,word,understands; produces,sweets,sweets
item_91,thee,food_drink,thee,word,understands; produces,tea,tea
item_92,vis,food_drink,vis,word,understands; produces,fish (food),fish (food)
item_93,vlees,food_drink,vlees,word,understands; produces,meat,meat
item_94,water (beverage),food_drink,water,word,understands; produces,water (beverage),water (beverage)
item_95,wortel,food_drink,wortel,word,understands; produces,carrot,carrot
item_96,arm,body_parts,arm,word,understands; produces,arm,arm
item_97,been,body_parts,been,word,understands; produces,leg,leg
item_98,buik,body_parts,buik,word,understands; produces,tummy,tummy
item_99,gezicht,body_parts,gezicht,word,understands; produces,face,face
item_100,haar,body_parts,haar,word,understands; produces,hair,hair
item_101,hand,body_parts,hand,word,understands; produces,hand,hand
item_102,hoofd,body_parts,hoofd,word,understands; produces,head,head
item_103,knie,body_parts,knie,word,understands; produces,knee,knee
item_104,mond,body_parts,mond,word,understands; produces,mouth,mouth
item_105,navel,body_parts,navel,word,understands; produces,belly button / tummy button,belly button
item_106,neus,body_parts,neus,word,understands; produces,nose,nose
item_107,oog,body_parts,oog,word,understands; produces,eye,eye
item_108,oor,body_parts,oor,word,understands; produces,ear,ear
item_109,tand,body_parts,tand,word,understands; produces,tooth,tooth
item_110,teen,body_parts,teen,word,understands; produces,toe,toe
item_111,tong,body_parts,tong,word,understands; produces,tongue,tongue
item_112,vinger,body_parts,vinger,word,understands; produces,finger,finger
item_113,vingernagel,body_parts,vingernagel,word,understands; produces,fingernail,fingernail
