Participant_ID,Source,Progress,Duration,Finished,Distributionroute,UserLanguage,Yourreltochild,Yourreltochildnotes,Sex,Age,AgeM,IMD,IMD Quintile,Region,C4OtherLanguage,Q624_C6whatlanguage,QC5hourslangauge,Complexitycondition,Q26_Firstword,Asounds1baabaa,Asounds2choochoo,Asounds3cockadoodledoo,Asounds4grr,Asounds5meow,Asounds6moo,Asounds7neigh,Asounds8oink,Asounds9oohooh,Asounds10ouch,Asounds11quack,Asounds12roar,Asounds13tweettweet,Asounds14twittwoo,Asounds15uhoh,Asounds16vroom,Asounds17whee,Asounds18woof,Asounds19yum,Banimals1alligator,Banimals2animal,Banimals3ant,Banimals4bear,Banimals5bee,Banimals6bird,Banimals7bug,Banimals8bunny,Banimals9butterfly,Banimals10cat,Banimals11chicken,Banimals12cow,Banimals13crab,Banimals14crocodile,Banimals15deer,Banimals16dinosaur,Banimals17dog,Banimals18donkey,Banimals19duck,Banimals20elephant,Banimals21fish,Banimals22fly,Banimals23fox,Banimals24frog,Banimals25giraffe,Banimals26goat,Banimals27goose,Banimals28hedgehog,Banimals29hen,Banimals30hippo,Banimals31horse,Banimals32kitten,Banimals33lamb,Banimals34lion,Banimals35monkey,Banimals36mouse,Banimals37octopus,Banimals38owl,Banimals39panda,Banimals40penguin,Banimals41pig,Banimals42pony,Banimals43puppy,Banimals44shark,Banimals45sheep,Banimals46snake,Banimals47spider,Banimals48squirrel,Banimals49tiger,Banimals50turkey,Banimals51turtle,Banimals52whale,Banimals53zebra,Cvehicles1aeroplane,Cvehicles2ambulance,Cvehicles3bicycle,Cvehicles4boat,Cvehicles5bus,Cvehicles6car,Cvehicles7crane,Cvehicles8digger,Cvehicles9fireengine,Cvehicles10helicopter,Cvehicles11lorry,Cvehicles12motorbike,Cvehicles13policecar,Cvehicles14pram,Cvehicles15pushchair_buggy_stroller,Cvehicles16rocket,Cvehicles17scooter,Cvehicles18sleigh,Cvehicles19tractor,Cvehicles20trailer,Cvehicles21train,Cvehicles22van,Dtoys1ball,Dtoys2balloon,Dtoys3block,Dtoys4book,Dtoys5brick,Dtoys6bubble,Dtoys7colouring,Dtoys8crayon,Dtoys9doll,Dtoys10game,Dtoys11lego,Dtoys12pen,Dtoys13pencil,Dtoys14playdough,Dtoys15puzzle,Dtoys16story,Dtoys17teddybear,Dtoys18toy,Dtoys19tracktraintrack,Efoods1apple,Efoods2banana,Efoods3beans,Efoods4biscuit,Efoods5blueberry,Efoods6bread,Efoods7butter,Efoods8cake,Efoods9carrot,Efoods10cereal,Efoods11cheese,Efoods12chicken,Efoods13chips,Efoods14chocolate,Efoods15chocolatebiscuit,Efoods16coffee,Efoods17crisps,Efoods18cucumber,Efoods19drink,Efoods20egg,Efoods21fish,Efoods22food,Efoods23grapes,Efoods24greenbeans,Efoods25ham,Efoods26ice,Efoods27icecream,Efoods28icelolly,Efoods29jam,Efoods30jelly,Efoods31juice,Efoods32lemon,Efoods33lollipoplolly,Efoods34meat,Efoods35melon,Efoods36milk,Efoods37muffin,Efoods38nuts,Efoods39onion,Efoods40orange,Efoods41pancake,Efoods42pasta,Efoods43peanutbutter,Efoods44pear,Efoods45peas,Efoods46pickle,Efoods47pizza,Efoods48plum,Efoods49pop,Efoods50popcorn,Efoods51potato,Efoods52pudding,Efoods53pumpkin,Efoods54raisin,Efoods55salt,Efoods56sandwich,Efoods57sauce,Efoods58sausages,Efoods59soup,Efoods60strawberry,Efoods61sweetcorn,Efoods62sweets,Efoods63teadrink,Efoods64toast,Efoods65tomato,Efoods66tomatosauceketchup,Efoods67tuna,Efoods68vanilla,Efoods69vitamins,Efoods70water,Efoods71yoghurt,Fbody1ankle,Fbody2arm,Fbody3bellytummy,Fbody4bellybutton,Fbody5boobboobies,Fbody6bottombum*,Fbody7cheek,Fbody8chin,Fbody9ear,Fbody10elbow,Fbody11eye,Fbody12eyebrow,Fbody13eyelash,Fbody14face,Fbody15finger,Fbody16foot,Fbody17hair,Fbody18hand,Fbody19head,Fbody20knee,Fbody21leg,Fbody22lips,Fbody23mouth,Fbody24nailfingernail,Fbody25neck,Fbody26nose,Fbody27privatespenisvagina,Fbody28shoulder,Fbody29teethtooth,Fbody30toe,Fbody31tongue,Gclothes1bib,Gclothes2boot,Gclothes3button,Gclothes4cardigan,Gclothes5coat,Gclothes6dress,Gclothes7glasses,Gclothes8gloves,Gclothes9hat,Gclothes10jacket,Gclothes11jeans,Gclothes12jumper,Gclothes13leggings,Gclothes14nappy,Gclothes15necklace,Gclothes16pantsknickers,Gclothes17pyjamas,Gclothes18scarf,Gclothes19shirt,Gclothes20shoe,Gclothes21shorts,Gclothes22sock,Gclothes23top,Gclothes24trainers,Gclothes25trousers,Gclothes26tshirt,Gclothes27vest,Gclothes28zip,Hfurniture1bathbathtub,Hfurniture2bathroom,Hfurniture3bed,Hfurniture4bedroom,Hfurniture5bench,Hfurniture6carpet,Hfurniture7chair,Hfurniture8cooker,Hfurniture9cot,Hfurniture10diningroom,Hfurniture11door,Hfurniture12downstairs,Hfurniture13drawer,Hfurniture14floor,Hfurniture15garage,Hfurniture16highchair,Hfurniture17kitchen,Hfurniture18livingroom,Hfurniture19oven,Hfurniture20porch,Hfurniture21potty,Hfurniture22radiator,Hfurniture23refrigeratorfridge,Hfurniture24rockingchair,Hfurniture25room,Hfurniture26seat,Hfurniture27shelf,Hfurniture28shower,Hfurniture29sink,Hfurniture30sofa,Hfurniture31stairgate,Hfurniture32stairs,Hfurniture33stool,Hfurniture34table,Hfurniture35television,Hfurniture36toilet_lav_loo,Hfurniture37upstairs,Hfurniture38washingmachine,Hfurniture39window,Ismallitems1bag,Ismallitems2bin,Ismallitems3blanket,Ismallitems4bottle,Ismallitems5bowl,Ismallitems6box,Ismallitems7broom,Ismallitems8brush,Ismallitems9bucket,Ismallitems10camera,Ismallitems11clock,Ismallitems12comb,Ismallitems13computer_laptop,Ismallitems14cup,Ismallitems15dish,Ismallitems16dummy,Ismallitems17fork,Ismallitems18glass,Ismallitems19hammer,Ismallitems20hoover,Ismallitems21jar,Ismallitems22jug,Ismallitems23kettle,Ismallitems24keys,Ismallitems25knife,Ismallitems26lamplight,Ismallitems27matrug,Ismallitems28medicine,Ismallitems29mirror,Ismallitems30money,Ismallitems31mop,Ismallitems32nail,Ismallitems33napkin,Ismallitems34paper,Ismallitems35penny,Ismallitems36picture,Ismallitems37pillow,Ismallitems38plant,Ismallitems39plate,Ismallitems40purse,Ismallitems41radio,Ismallitems42rubbish,Ismallitems43scissors,Ismallitems44sellotape,Ismallitems45soap,Ismallitems46spoon,Ismallitems47tap,Ismallitems48telephonephonemobile,Ismallitems49tissue,Ismallitems50toothbrush,Ismallitems51towel,Ismallitems52watch,Joutside1backyard,Joutside2cloud,Joutside3flag,Joutside4flower,Joutside5garden,Joutside6grass,Joutside7moon,Joutside8mud,Joutside9pavement,Joutside10pond,Joutside11puddle,Joutside12rain,Joutside13rainbow,Joutside14road,Joutside15rock,Joutside16roof,Joutside17seesaw,Joutside18sky,Joutside19slide,Joutside20snow,Joutside21snowman,Joutside22spade,Joutside23star,Joutside24stick,Joutside25stone,Joutside26sun,Joutside27swing,Joutside28tree,Joutside29wall,Joutside30water,Joutside31wateringcan,Joutside32wind,Joutside33woods,Kplaces1beach,Kplaces2cafe,Kplaces3churchmosquesynagogue,Kplaces4circus,Kplaces5farm,Kplaces6home,Kplaces7house,Kplaces8nurserypreschool,Kplaces9outside,Kplaces10park,Kplaces11party,Kplaces12picnic,Kplaces13playground,Kplaces14poolswimmingpool,Kplaces15restaurant,Kplaces16school,Kplaces17shop,Kplaces18softplay,Kplaces19work,Kplaces20zoo,Lpeople1aunt,Lpeople2baby,Lpeople3babysitter,Lpeople4boy,Lpeople5brother,Lpeople6child,Lpeople7childsownname,Lpeople8daddy,Lpeople9doctor,Lpeople10firemanfirefighter,Lpeople11friend,Lpeople12girl,Lpeople13granddad,Lpeople14grandma,Lpeople15lady,Lpeople16man,Lpeople17mummy,Lpeople18people,Lpeople19person,Lpeople20petsname,Lpeople21police,Lpeople22postmanpostie,Lpeople23sister,Lpeople24teacher,Lpeople25uncle,Lpeople26woman,Mgames1bath,Mgames2bedtime,Mgames3breakfast,Mgames4brush_teeth,Mgames5byebye,Mgames6clap_hands,Mgames7dinner,Mgames8dont,Mgames9goodnightnightnight,Mgames10hello,Mgames11hushshh,Mgames12lunch,Mgames13music,Mgames14nap,Mgames15no,Mgames16okay,Mgames17oops,Mgames18patacake,Mgames19peekaboo,Mgames20phonecallon,Mgames21please,Mgames22shopping,Mgames23snack,Mgames24sorry,Mgames25tea,Mgames26thankyou,Mgames27thislittlepiggy,Mgames28wait,Mgames29wantto,Mgames30yes,Nactions1bite,Nactions2blow,Nactions3break,Nactions4bring,Nactions5bump,Nactions6call,Nactions7carry,Nactions8catch,Nactions9chase,Nactions10clap,Nactions11clean,Nactions12climb,Nactions13come,Nactions14cook,Nactions15cover,Nactions16cry,Nactions17cuddle,Nactions18cut,Nactions19dance,Nactions20draw,Nactions21drink,Nactions22drive,Nactions23drop,Nactions24dry,Nactions25eat,Nactions26fall,Nactions27feed,Nactions28find,Nactions29finish,Nactions30fix,Nactions31get,Nactions32give,Nactions33go,Nactions34have,Nactions35hear,Nactions36help,Nactions37hide,Nactions38hit,Nactions39hug,Nactions40hurry,Nactions41jump,Nactions42kick,Nactions43kiss,Nactions44knock,Nactions45know,Nactions46like,Nactions47look,Nactions48love,Nactions49make,Nactions50open,Nactions51paint,Nactions52pick,Nactions53play,Nactions54pull,Nactions55push,Nactions56put,Nactions57read,Nactions58ride,Nactions59rub,Nactions60run,Nactions61say,Nactions62scoot,Nactions63scratch,Nactions64see,Nactions65share,Nactions66shout,Nactions67show,Nactions68shutclose,Nactions69sing,Nactions70sit,Nactions71sleep,Nactions72slide,Nactions73smell,Nactions74smile,Nactions75splash,Nactions76stand,Nactions77stay,Nactions78stop,Nactions79swim,Nactions80swing,Nactions81take,Nactions82talk,Nactions83tell,Nactions84throw,Nactions85tickle,Nactions86touch,Nactions87wait,Nactions88wake,Nactions89walk,Nactions90wash,Nactions91watch,Nactions92wipe,Nactions93wish,Nactions94work,Nactions95write,Odescribing1allgone,Odescribing2asleep,Odescribing3awake,Odescribing4bad,Odescribing5bang,Odescribing6better,Odescribing7big,Odescribing8black,Odescribing9blue,Odescribing10broken,Odescribing11brown,Odescribing12careful,Odescribing13clean,Odescribing14cold,Odescribing15colour,Odescribing16dark,Odescribing17dirty,Odescribing18dry,Odescribing19empty,Odescribing20fast,Odescribing21fine,Odescribing22fun,Odescribing23gentle,Odescribing24good,Odescribing25green,Odescribing26happy,Odescribing27hard,Odescribing28heavy,Odescribing29high,Odescribing30hot,Odescribing31hungry,Odescribing32hurt,Odescribing33last,Odescribing34little,Odescribing35long,Odescribing36loud,Odescribing37messy,Odescribing38nasty,Odescribing39naughty,Odescribing40nice,Odescribing41noisenoisy,Odescribing42old,Odescribing43orange,Odescribing44pink,Odescribing45pretty,Odescribing46purple,Odescribing47quiet,Odescribing48red,Odescribing49sad,Odescribing50scared,Odescribing51sick,Odescribing52sleepy,Odescribing53small,Odescribing54soft,Odescribing55square,Odescribing56stuck,Odescribing57tall,Odescribing58tasty,Odescribing59thirsty,Odescribing60tired,Odescribing61wet,Odescribing62windy,Odescribing63yellow,Odescribing64yucky,Pquestion1how,Pquestion2what,Pquestion3when,Pquestion4where,Pquestion5which,Pquestion6who,Pquestion7why,Qtime1after,Qtime2afternoon,Qtime3day,Qtime4later,Qtime5minute,Qtime6morning,Qtime7night,Qtime8now,Qtime9today,Qtime10tomorrow,Qtime11tonight,Rpronouns1he,Rpronouns2her,Rpronouns3him,Rpronouns4his,Rpronouns5I,Rpronouns6it,Rpronouns7me,Rpronouns8mine,Rpronouns9my,Rpronouns10myself,Rpronouns11our,Rpronouns12she,Rpronouns13that,Rpronouns14they,Rpronouns15this,Rpronouns16us,Rpronouns17we,Rpronouns18you,Rpronouns19your,Sprepositions1above,Sprepositions2around,Sprepositions3at,Sprepositions4awayway,Sprepositions5back,Sprepositions6by,Sprepositions7down,Sprepositions8here,Sprepositions9in,Sprepositions10inside,Sprepositions11into,Sprepositions12off,Sprepositions13on,Sprepositions14out,Sprepositions15there,Sprepositions16to,Sprepositions17under,Sprepositions18up,Sprepositions19with,Tamounts1again,Tamounts2all,Tamounts3another,Tamounts4bit,Tamounts5each,Tamounts6every,Tamounts7lots,Tamounts8more,Tamounts9none,Tamounts10not,Tamounts11other,Tamounts12same,Tamounts13some,Uhelpingverbs1am,Uhelpingverbs2are,Uhelpingverbs3be,Uhelpingverbs4can,Uhelpingverbs5could,Uhelpingverbs6diddidya,Uhelpingverbs7do,Uhelpingverbs8does,Uhelpingverbs9dont,Uhelpingverbs10goingto,Uhelpingverbs11gotto,Uhelpingverbs12haveto,Uhelpingverbs13is,Uhelpingverbs14letme,Uhelpingverbs15needto,Uhelpingverbs16tryto,Uhelpingverbs17wantto,Uhelpingverbs18was,Uhelpingverbs19were,Uhelpingverbs20will,Uhelpingverbs21would,Vconnectives1and,Vconnectives2because,Vconnectives3but,Vconnectives4if,Vconnectives5so,Vconnectives6then,Z01wordusepast,Z02wordusefuture,Z03worduseabsentproduce,Z04worduseabsentcomprehend,Z05worduseabsentperson,ZA01plural,ZA02possessive,ZA03prescontin,ZA04past,ZB01pluchildren,ZB02plumen,ZB03pluteeth,ZB04plufeet,ZB05plumice,ZB06pasate,ZB07pasfell,ZB08pasmade,ZB09pasblew,ZB10pasflew,ZB11pasran,ZB12pasbought,ZB13pasgot,ZB14passat,ZB15pasbroke,ZB16pashad,ZB17passaw,ZB18pascame,ZB19pasheard,ZB20pastook,ZB21pasdrank,ZB22pasheld,ZB23paswent,ZB24pasdrove,ZB25paslost,ZB26oplblockses,ZB27oplmans,ZB28oplsockses,ZB29oplchildrens,ZB30oplmens,ZB31oplteeths,ZB32oplchilds,ZB33oplmices,ZB34opltoeses,ZB35oplfeets,ZB36oplmouses,ZB37opltooths,ZB38oplfoots,ZB39oplshoeses,ZB40opaated,ZB41opadrinked,ZB42opalosted,ZB43opablewed,ZB44opaeated,ZB45opapamaked,ZB46opablowed,ZB47opafalled,ZB48oparanned,ZB49opabringed,ZB50opaflied,ZB51oparunned,ZB52opabuyed,ZB53opagetted,ZB54opaseed,ZB55opabreaked,ZB56opagoed,ZB57opasatted,ZB58opabroked,ZB59opagotted,ZB60opasitted,ZB61opacamed,ZB62opahaved,ZB63opataked,ZB64opacomed,ZB65opaheared,ZB66opawented,ZB67opadoed,ZB68opaholded,ZB69opadranked,ZB70opalosed,ZC00comyes,ZC01comone,ZC02comtwo,ZC03comthree,ZD01compl,ZD02compl,ZD03compl,ZD04compl,ZD05compl,ZD06compl,ZD07compl,ZD08compl,ZD09compl,ZD10compl,ZD11compl,ZD12compl,ZD13compl,ZD14compl,ZD15compl,ZD16compl,ZD17compl,ZD18compl,ZD19compl,ZD20compl,ZD21compl,ZD22compl,ZD23compl,ZD24compl,ZD25compl,ZD26compl,ZD27compl,ZD28compl,ZD29compl,ZD30compl,ZD31compl,ZD32compl,ZD33compl,ZD34compl,ZD35compl,ZD36compl,ZD37compl
5001,Edinburgh babylab,100,6774,1,anonymous,EN-GB,1,,1,27.66,27,6.51909399,1,Scotland,,,,2,Mum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Can I please have another biscuit? ,I made play dough,I am a bit hungry mum,2,1,2,2,1,2,2,2,3,3,3,1,3,1,2,2,2,2,2,2,1,3,3,2,1,3,3,2,3,3,3,2,2,3,1,3,3
5002,Edinburgh babylab,100,3076,1,anonymous,EN-GB,1,,2,30.74,30,16.29091979,3,Scotland,,,,2,Hiya,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"""Then maybe after tea we can watch a bit of Paddington""","""Anna got into the shower; and Bun (her toy) got out of the shower""","""We don't need our raincoat because it's a bit sunny outside""",2,2,2,2,2,2,2,2,3,3,3,1,3,2,2,2,2,2,2,2,3,3,3,3,1,3,3,3,3,3,3,3,2,3,1,3,3
5003,Edinburgh babylab,100,1367,1,anonymous,EN-GB,1,,1,25.03,25,2.99,1,Scotland,,,,2,Duck,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,I want some more food please,Teacher changed my nappy,N/a,1,1,2,1,1,0,1,2,1,3,2,0,1,1,2,2,1,0,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,0,2,1
