itemID,category,item,definition,choices,type,complexity_category,gloss,uni_lemma
item_1,sounds,Asounds1baabaa,A sounds - 1 baabaa,produces,word,,baabaa,baa baa
item_2,sounds,Asounds2choochoo,A sounds - 2 choochoo,produces,word,,choochoo,choo choo
item_3,sounds,Asounds3cockadoodledoo,A sounds - 3 cockadoodledoo,produces,word,,cockadoodledoo,cockadoodledoo
item_4,sounds,Asounds4grr,A sounds - 4 grr,produces,word,,grr,grrr
item_5,sounds,Asounds5meow,A sounds - 5 meow,produces,word,,meow,meow
item_6,sounds,Asounds6moo,A sounds - 6 moo,produces,word,,moo,moo
item_7,sounds,Asounds7neigh,A sounds - 7 neigh,produces,word,,neigh,neigh
item_8,sounds,Asounds8oink,A sounds - 8 oink snort,produces,word,,oink snort,oink
item_9,sounds,Asounds9oohooh,A sounds - 9 oohooh,produces,word,,oohooh,
item_10,sounds,Asounds10ouch,A sounds - 10 ouch,produces,word,,ouch,ouch
item_11,sounds,Asounds11quack,A sounds - 11 quack,produces,word,,quack,quack quack
item_12,sounds,Asounds12roar,A sounds - 12 roar,produces,word,,roar,roar
item_13,sounds,Asounds13tweettweet,A sounds - 13 tweettweet,produces,word,,tweettweet,tweet tweet
item_14,sounds,Asounds14twittwoo,A sounds - 14 twittwoo,produces,word,,twittwoo,
item_15,sounds,Asounds15uhoh,A sounds - 15 uhoh,produces,word,,uhoh,uh oh
item_16,sounds,Asounds16vroom,A sounds - 16 vroom,produces,word,,vroom,vroom
item_17,sounds,Asounds17whee,A sounds - 17 whee,produces,word,,whee,weee
item_18,sounds,Asounds18woof,A sounds - 18 woof,produces,word,,woof,woof woof
item_19,sounds,Asounds19yum,A sounds - 19 yum,produces,word,,yum,yum yum
item_20,animals,Banimals1alligator,B animals - 1 alligator,produces,word,,alligator,alligator
item_21,animals,Banimals2animal,B animals - 2 animal,produces,word,,animal,animal
item_22,animals,Banimals3ant,B animals - 3 ant,produces,word,,ant,ant
item_23,animals,Banimals4bear,B animals - 4 bear,produces,word,,bear,bear
item_24,animals,Banimals5bee,B animals - 5 bee,produces,word,,bee,bee
item_25,animals,Banimals6bird,B animals - 6 bird,produces,word,,bird,bird
item_26,animals,Banimals7bug,B animals - 7 bug,produces,word,,bug,bug
item_27,animals,Banimals8bunny,B animals - 8 bunny,produces,word,,bunny,bunny
item_28,animals,Banimals9butterfly,B animals - 9 butterfly,produces,word,,butterfly,butterfly
item_29,animals,Banimals10cat,B animals - 10 cat,produces,word,,cat,cat
item_30,animals,Banimals11chicken,B animals - 11 chicken,produces,word,,chicken,chicken (animal)
item_31,animals,Banimals12cow,B animals - 12 cow,produces,word,,cow,cow
item_32,animals,Banimals13crab,B animals - 13 crab,produces,word,,crab,crab
item_33,animals,Banimals14crocodile,B animals - 14 crocodile,produces,word,,crocodile,crocodile
item_34,animals,Banimals15deer,B animals - 15 deer,produces,word,,deer,deer
item_35,animals,Banimals16dinosaur,B animals - 16 dinosaur,produces,word,,dinosaur,dinosaur
item_36,animals,Banimals17dog,B animals - 17 dog,produces,word,,dog,dog
item_37,animals,Banimals18donkey,B animals - 18 donkey,produces,word,,donkey,donkey
item_38,animals,Banimals19duck,B animals - 19 duck,produces,word,,duck,duck
item_39,animals,Banimals20elephant,B animals - 20 elephant,produces,word,,elephant,elephant
item_40,animals,Banimals21fish,B animals - 21 fish,produces,word,,fish,fish (animal)
item_41,animals,Banimals22fly,B animals - 22 fly,produces,word,,fly,fly (animal)
item_42,animals,Banimals23fox,B animals - 23 fox,produces,word,,fox,fox
item_43,animals,Banimals24frog,B animals - 24 frog,produces,word,,frog,frog
item_44,animals,Banimals25giraffe,B animals - 25 giraffe,produces,word,,giraffe,giraffe
item_45,animals,Banimals26goat,B animals - 26 goat,produces,word,,goat,goat
item_46,animals,Banimals27goose,B animals - 27 goose,produces,word,,goose,goose
item_47,animals,Banimals28hedgehog,B animals - 28 hedgehog,produces,word,,hedgehog,hedgehog
item_48,animals,Banimals29hen,B animals - 29 hen,produces,word,,hen,hen
item_49,animals,Banimals30hippo,B animals - 30 hippo,produces,word,,hippo,hippopotamus
item_50,animals,Banimals31horse,B animals - 31 horse,produces,word,,horse,horse
item_51,animals,Banimals32kitten,B animals - 32 kitten,produces,word,,kitten,kitten
item_52,animals,Banimals33lamb,B animals - 33 lamb,produces,word,,lamb,lamb
item_53,animals,Banimals34lion,B animals - 34 lion,produces,word,,lion,lion
item_54,animals,Banimals35monkey,B animals - 35 monkey,produces,word,,monkey,monkey
item_55,animals,Banimals36mouse,B animals - 36 mouse,produces,word,,mouse,mouse
item_56,animals,Banimals37octopus,B animals - 37 octopus,produces,word,,octopus,octopus
item_57,animals,Banimals38owl,B animals - 38 owl,produces,word,,owl,owl
item_58,animals,Banimals39panda,B animals - 39 panda,produces,word,,panda,panda
item_59,animals,Banimals40penguin,B animals - 40 penguin,produces,word,,penguin,penguin
item_60,animals,Banimals41pig,B animals - 41 pig,produces,word,,pig,pig
item_61,animals,Banimals42pony,B animals - 42 pony,produces,word,,pony,pony
item_62,animals,Banimals43puppy,B animals - 43 puppy,produces,word,,puppy,puppy
item_63,animals,Banimals44shark,B animals - 44 shark,produces,word,,shark,shark
item_64,animals,Banimals45sheep,B animals - 45 sheep,produces,word,,sheep,sheep
item_65,animals,Banimals46snake,B animals - 46 snake,produces,word,,snake,snake
item_66,animals,Banimals47spider,B animals - 47 spider,produces,word,,spider,spider
item_67,animals,Banimals48squirrel,B animals - 48 squirrel,produces,word,,squirrel,squirrel
item_68,animals,Banimals49tiger,B animals - 49 tiger,produces,word,,tiger,tiger
item_69,animals,Banimals50turkey,B animals - 50 turkey,produces,word,,turkey,turkey
item_70,animals,Banimals51turtle,B animals - 51 turtle,produces,word,,turtle,turtle
item_71,animals,Banimals52whale,B animals - 52 whale,produces,word,,whale,whale
item_72,animals,Banimals53zebra,B animals - 53 zebra,produces,word,,zebra,zebra
item_73,vehicles,Cvehicles1aeroplane,C vehicles - 1 aeroplane,produces,word,,aeroplane,airplane
item_74,vehicles,Cvehicles2ambulance,C vehicles - 2 ambulance,produces,word,,ambulance,ambulance
item_75,vehicles,Cvehicles3bicycle,C vehicles - 3 bicycle,produces,word,,bicycle,bicycle
item_76,vehicles,Cvehicles4boat,C vehicles - 4 boat,produces,word,,boat,boat
item_77,vehicles,Cvehicles5bus,C vehicles - 5 bus,produces,word,,bus,bus
item_78,vehicles,Cvehicles6car,C vehicles - 6 car,produces,word,,car,car
item_79,vehicles,Cvehicles7crane,C vehicles - 7 crane,produces,word,,crane,crane
item_80,vehicles,Cvehicles8digger,C vehicles - 8 digger,produces,word,,digger,digger
item_81,vehicles,Cvehicles9fireengine,C vehicles - 9 fireengine,produces,word,,fireengine,firetruck
item_82,vehicles,Cvehicles10helicopter,C vehicles - 10 helicopter,produces,word,,helicopter,helicopter
item_83,vehicles,Cvehicles11lorry,C vehicles - 11 lorry,produces,word,,lorry,truck
item_84,vehicles,Cvehicles12motorbike,C vehicles - 12 motorbike,produces,word,,motorbike,motorcycle
item_85,vehicles,Cvehicles13policecar,C vehicles - 13 policecar,produces,word,,policecar,police car
item_86,vehicles,Cvehicles14pram,C vehicles - 14 pram,produces,word,,pram,pram
item_87,vehicles,Cvehicles15pushchair_buggy_stroller,C vehicles - 15 pushchair_buggy_stroller,produces,word,,pushchair_buggy_stroller,stroller
item_88,vehicles,Cvehicles16rocket,C vehicles - 16 rocket,produces,word,,rocket,rocket
item_89,vehicles,Cvehicles17scooter,C vehicles - 17 scooter,produces,word,,scooter,scooter
item_90,vehicles,Cvehicles18sleigh,C vehicles - 18 sleigh,produces,word,,sleigh,sled
item_91,vehicles,Cvehicles19tractor,C vehicles - 19 tractor,produces,word,,tractor,tractor
item_92,vehicles,Cvehicles20trailer,C vehicles - 20 trailer,produces,word,,trailer,
item_93,vehicles,Cvehicles21train,C vehicles - 21 train,produces,word,,train,train
item_94,vehicles,Cvehicles22van,C vehicles - 22 van,produces,word,,van,van
item_95,toys,Dtoys1ball,D toys - 1 ball,produces,word,,ball,ball
item_96,toys,Dtoys2balloon,D toys - 2 balloon,produces,word,,balloon,balloon
item_97,toys,Dtoys3block,D toys - 3 block,produces,word,,block,block
item_98,toys,Dtoys4book,D toys - 4 book,produces,word,,book,book
